name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,dissolution_date,reason_for_administrative,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_international_address,mailing_jurisdiction_3,office_jurisdiction_3
PRIMAL LLC,LLC,Active,1334183,2021-03-31,66 FORBELL DR.,NORWALK,United States,06850,CT,MICHELEAMAESTRI@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,True,False,False,False,False,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),424990.0,2021-11-10 00:08:38.8866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
SBS HOME IMPROVEMENTS LLC,LLC,Active,1334185,2022-03-31,30 LINCOLN RD,WATERFORD,United States,06385,CT,ortstahls@sbcglobal.net,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:38.8866667,,,,,,,,,,,,,,,,,,,,,,,,,
"CSA WILTON  ASC, LLC",LLC,Active,1334186,2022-03-31,100 AVON MEADOW LANE,AVON,United States,06001,CT,katiecistulli@cbfs.us,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),,2021-11-10 00:08:38.8866667,,,,,,,,,,,,,,,,,,,,,,,,,
14 HAMILTON LANE LLC,LLC,Active,1334187,2022-03-31,1 BISHOP STREET,NORWALK,United States,06851,CT,fpc1010@gmail.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),236118.0,2021-11-10 00:08:38.8866667,,,,,,,,,,,,,,,,,,,,,,,,,
"TRUFFLE BLOCKCHAIN GROUP, INC.",Stock,Withdrawn,1334188,2021-01-27,2389 MAIN ST STE 100,GLASTONBURY,United States,06033,CT,CENTRAL@NORTHWESTREGISTEREDAGENT.COM,Foreign,2020-01-27,DE,DE,False,False,False,False,False,,,2021-11-10 00:08:38.8866667,,2020-01-27,"TRUFFLE BLOCKCHAIN GROUP, INC.",United States,,,,,,,,,,,,,,,,,,,,,
CLANCY NEW MILFORD LLC,LLC,Active,1334189,2021-03-31,2963 ROUTE 22,PATTERSON,United States,12563,NY,MTLIGUORI@HOGANANDROSSI.COM,Domestic,2020-01-27,NY,Connecticut,False,False,False,False,False,Used Household and Office Goods Moving (484210),484210.0,2021-11-10 00:08:38.8866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
21 WILDCAT ROAD LLC,LLC,Active,1334190,2022-03-31,1 BISHOP STREET,NORWALK,United States,06851,CT,fpc1010@gmail.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),236118.0,2021-11-10 00:08:38.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
"M31 CAPITAL MANAGEMENT, LLC",LLC,Active,1334191,2022-03-31,1370 CALLE WILSON,SAN JUAN,United States,00907,PR,contact@m31.capital,Domestic,2020-01-27,PR,Connecticut,False,False,False,False,False,Portfolio Management (523920),,2021-11-10 00:08:38.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
CLANCY SOUTH MAIN LLC,LLC,Active,1334192,2022-03-31,2963 ROUTE 22,PATTERSON,United States,12563,NY,jclancy@clancymoving.com,Domestic,2020-01-27,NY,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),484210.0,2021-11-10 00:08:38.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
OLOUIS SERVICES LLC,LLC,Active,1334193,2021-03-31,30 DEERFIELD COURT APT. D,EAST HARTFORD,United States,06108,CT,OLOUISSERVICES@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,False,False,True,False,False,Other Building Finishing Contractors (238390),238390.0,2021-11-10 00:08:38.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
5 KENNEDY DRIVE LLC,LLC,Active,1334194,2022-03-31,2 ARMONK STREET #1048,GREENWICH,United States,06830,CT,contact@RMLLRE.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:08:38.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
TAYBAY-16 LLC,LLC,Active,1334195,2022-03-31,100 MILLERS WAY,SIMSBURY,United States,06070,CT,sussyrua@gmail.com,Foreign,2020-01-27,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:38.9333333,,2020-01-27,TAYBAY-16 LLC,United States,"1201 ORANGE STREET SUITE 600, WILMINGTON, DE, 19801, United States",1201 ORANGE STREET SUITE 600,WILMINGTON,DE,19801,United States,"1201 ORANGE STREET SUITE 600, WILMINGTON, DE, 19801, United States",1201 ORANGE STREET SUITE 600,WILMINGTON,DE,19801,United States,,,,,,,,,
MINDFUL STEPS LLC,LLC,Active,1334196,2022-03-31,900 STRAITS TPKE SUITE 205,MIDDLEBURY,United States,06762,CT,mindfulstepsct@gmail.com,Domestic,2020-01-27,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:08:38.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
"NEW WAVE PAINTING, LLC",LLC,Active,1334197,2021-03-31,12 LEXINGTON COURT,SHELTON,United States,06484,CT,JMOTASKY@3PLWORLDWIDE.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
GLOBAL FLOORING SYSTEMS LLC,LLC,Active,1334198,2022-03-31,430 MIDDLE ST,BRISTOL,United States,06010,CT,john@globalgarageflooring.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Service Establishment Equipment and Supplies Merchant Wholesalers (423850),423850.0,2021-11-10 00:08:38.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
"J. RANDOLPH PARRY ARCHITECTS, P.C.",Stock,Active,1334199,2022-01-27,613 MAIN STREET,RIVERTON,United States,08077,NJ,jparry@jrparch.com,Foreign,2020-01-27,NJ,NJ,False,False,False,False,False,Architectural Services (541310),541310.0,2021-11-10 00:08:38.9333333,,2018-04-05,"J. RANDOLPH PARRY ARCHITECTS, P.C.",United States,,,,,,,,,,,,,,,,,,,,,
133 LAKE LLC,LLC,Active,1334200,2021-03-31,3916 BLACKTHORN STREET,CHEVY CHASE,United States,20815,MD,KKTING@KPMG.COM,Domestic,2020-01-27,MD,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:38.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
82 BROOKSIDE LLC,LLC,Active,1334201,2021-03-31,3916 BLACKTHORN STREET,CHEVY CHASE,United States,20815,MD,KKTING@KPMG.COM,Domestic,2020-01-27,MD,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:38.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
UNITED ROOFING & EXTERIORS LLC,LLC,Active,1334202,2022-03-31,23 EVERGREEN RD,SANDY HOOK,United States,06482,CT,luz@unitedroofingct.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Roofing Contractors (238160),238160.0,2021-11-10 00:08:38.9333333,,,,,,,,,,,,,,,,,,,,luz@unitedroofingct.com,,,,,
PLATFORM ENTERPRISE LLC,LLC,Active,1334203,2021-03-31,1523 STANLEY ST,NEW BRITAIN,United States,06053,CT,JEVONANDERSON44@YAHOO.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:38.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
PRO VERITATE LLC,LLC,Active,1334204,2022-03-31,117 IDLEWOOD DR,STAMFORD,United States,06905,CT,izanagle@hotmail.com,Domestic,2020-01-27,CT,Connecticut,True,False,False,False,False,Religious Organizations (813110),,2021-11-10 00:08:38.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
ARTS ARE THE ANSWER LLC,LLC,Active,1334205,2021-03-31,116 GODFREY RD,MYSTIC,,06355,CT,JOHN@JOHNMWALLER.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.9333333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
III THIRD GENERATION LLC,LLC,Active,1334206,2022-03-31,142 UNDERMOUNTAIN ROAD,SALISBURY,United States,06068,CT,peterlorenzo3@yahoo.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Logging (113310),113310.0,2021-11-10 00:08:38.9333333,,,,,,,,,,,,,,,,,,,,,,,,,
YCBD LLC,LLC,Active,1334208,2021-03-31,38 W BROAD ST,PAWCATUCK,,06379,CT,OJASON65@HOTMAIL.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"GRIGGS, BALDWIN & BALDWIN, LLC",LLC,Active,1334209,2021-03-31,"57 OLD POST ROAD NO., 2",GREENWICH,United States,06830,CT,DBRANDRUP@YAHOO.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:08:38.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
RL COMMODITIES LLC,LLC,Active,1334210,2022-03-31,15 STONEY WYLDE LN.,GREENWICH,United States,06830,CT,richard.lurito@gmail.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),,2021-11-10 00:08:38.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
"CMS REALTY 2 DELAWARE, LLC",LLC,Active,1334211,2021-03-31,228 COLONY ROAD,NEW HAVEN,,06511,CT,SEDELKOPF@GMAIL.COM,Foreign,2020-01-27,DE,DE,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:38.9666667,Annual report past due,2020-01-27,"CMS REALTY 2, LLC",,"3524 SILVERSIDE ROAD SUITE 35B, WILMINGTON, DE, 19810,",3524 SILVERSIDE ROAD SUITE 35B,WILMINGTON,DE,19810,,"3524 SILVERSIDE ROAD SUITE 35B, WILMINGTON, DE, 19810,",3524 SILVERSIDE ROAD SUITE 35B,WILMINGTON,DE,19810,,,,,,,,,,
CYRUS FRANKLIN LLC,LLC,Active,1334212,2021-03-31,"333 E 55TH ST., APT. 7H",NEW YORK,United States,10022,CT,MATTHEWGRAINER14@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
BALANCED CORE LLC,LLC,Active,1334213,2021-03-31,22 BEAVER DAM ROAD,NEWTOWN,United States,06470,CT,J.OLIARO@AOL.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
JN HALE LLC,LLC,Active,1334214,2022-03-31,236 DURKEE RD.,SOMERS,United States,06071,CT,nlee@jnhale.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),,2021-11-10 00:08:38.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
HIDDEN CREATIONS LLC,LLC,Active,1334216,2021-03-31,74 WARWICK AVE,STRATFORD,United States,06615,CT,EMANF11@YAHOO.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:38.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
STEPHANIE ROBLES TRAVELS LLC,LLC,Active,1334217,2022-03-31,333 W HILL RD,STAMFORD,United States,06902,CT,stephanietravelsllc@gmail.com,Domestic,2020-01-27,CT,Connecticut,True,False,False,False,False,Travel Agencies (561510),561510.0,2021-11-10 00:08:38.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
JK TRADING LLC,LLP,Active,1334219,2021-01-27,79 MAIN STREET UNIT 9,TORRINGTON,United States,06790,CT,JKTRADING20@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Used Merchandise Stores (453310),453310.0,2021-11-10 00:08:38.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
THA BRIDGE CORP,Non-Stock,Active,1334220,2022-01-07,114 SHELDON TERRACE,NEW HAVEN,United States,06511,CT,THABRIDGECORP@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,False,False,True,False,False,Sports and Recreation Instruction (611620),611620.0,2021-11-10 00:08:38.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
ROOTZ ORGANIC SALON LLC,LLC,Active,1334221,2021-03-31,124 MAIN STREET,COLLINSVILLE,United States,06019,CT,DAWNMLESNIAK@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:08:38.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
BOULDER AVENUE PROPERTIES LLC,LLC,Active,1334222,2022-03-31,3 BOULDER AVENUE,OLD GREENWICH,United States,06870,CT,david@alfanocpa.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:38.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
MCCULLOCH VENTURES LLC,LLC,Active,1334223,2021-03-31,751A HERITAGE VILLAGE,SOUTHBURY,United States,06488,CT,FDCO176@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:08:38.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"CROSSBRIDGE EDUCATION CONSULTING, LLC",LLC,Active,1334224,2022-03-31,251 Canaan Rd,Salisbury,United States,06068-1602,CT,REBEKAH@TEAMCROSSBRIDGE.COM,Domestic,2020-01-27,CT,Connecticut,True,False,True,False,False,Educational Support Services (611710),611710.0,2021-11-10 00:08:38.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
"HORIZON FIVE TECHNOLOGIES, LLC",LLC,Active,1334225,2021-03-31,154 SLEEPY HOLLOW RD,NEW CANAAN,United States,06840,CT,HORIZONFIVEADM@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:08:38.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
TOLSON-TRANSPORTATION LLC,LLC,Active,1334226,2022-03-31,140 HAMDEN AVE APT L,WATERBURY,United States,06704,CT,Tolsontransportation@gmail.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,All Other Transit and Ground Passenger Transportation (485999),485999.0,2021-11-10 00:08:38.9666667,,,,,,,,,,,,,,,,,,,,,,,,,
MLLM LLC,LLC,Active,1334227,2021-03-31,55 MAIN STREET,CENTERBROOK,United States,06409,CT,SCOOPSOFCENTERBROOK@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:39.4666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"HUMANEDGE ALLIED HEALTH,  LLC.",LLC,Active,1334228,2022-03-31,30 GLENN STREET SUITE 401,NEW YORK,United States,10603,NY,jruiz@humanedge.com,Foreign,2020-01-27,FL,FL,False,False,False,False,False,Temporary Help Services (561320),561320.0,2021-11-10 00:08:39.4666667,,2019-12-30,"HUMANEDGE ALLIED HEALTH,  LLC.",United States,"1100 PARK CENTRAL BLVD SOUTH SUITE 3400, POMPANO BEACH, FL, 33064, United States",1100 PARK CENTRAL BLVD SOUTH SUITE 3400,POMPANO BEACH,FL,33064,United States,"1100 PARK CENTRAL BLVD SOUTH SUITE 3400, POMPANO BEACH, FL, 33064, United States",1100 PARK CENTRAL BLVD SOUTH SUITE 3400,POMPANO BEACH,FL,33064,United States,,,,,,,,,
NORTH39 LLC,LLC,Active,1334234,2021-03-31,34 SUNDANCE DRIVE,BRANFORD,United States,06405,CT,NORTH39LLC@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,True,False,True,False,False,Business Associations (813910),813910.0,2021-11-10 00:08:39.4666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
AGAVIATION LLC,LLC,Active,1334235,2022-03-31,107 BANTAM LAKE RD,MORRIS,United States,06763,CT,agaviation@ymail.com,Domestic,2020-01-27,CT,Connecticut,True,False,False,False,False,All Other Traveler Accommodation (721199),721199.0,2021-11-10 00:08:39.4666667,,,,,,,,,,,,,,,,,,,,,,,,,
GLUVEY LLC,LLC,Active,1334236,2022-03-31,39 LAKEVIEW AVE.,WEST HAVEN,United States,06516,CT,vitri_handayani@yahoo.com,Domestic,2020-01-27,CT,Connecticut,True,False,True,False,False,All Other Personal Services (812990),,2021-11-10 00:08:39.4666667,,,,,,,,,,,,,,,,,,,,,,,,,
NAHAL OZ LLC,LLC,Active,1334237,2021-03-31,101 WHITNEY AVE SUITE 6B,NEW HAVEN,United States,06510,CT,DANIELLETRIVERS@COMCAST.NET,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:39.4666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
NAHAL SOREK LLC,LLC,Active,1334238,2021-03-31,101 WHITNEY AVE SUITE 6B,NEW HAVEN,United States,06510,CT,DANIELLETRIVERS@COMCAST.NET,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:39.4666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
OCEAN IV NH LLC,LLC,Active,1334239,2021-03-31,101 WHITNEY AVE SUITE 6B,NEW HAVEN,United States,06510,CT,DANIELLETRIVERS@COMCAST.NET,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:39.4666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
PB PROJECTS VI LLC,LLC,Active,1334240,2021-03-31,250 STATE STREET H-1,NORTH HAVEN,United States,06473,CT,BLYMAN@PARKERBENJAMIN.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),531312.0,2021-11-10 00:08:39.4666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
BELEV LLC,LLC,Active,1334241,2022-03-31,110 WESTON ROAD,WESTPORT,United States,06880,CT,compliance@ZENBUSINESS.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),,2021-11-10 00:08:39.4666667,,,,,,,,,,,,,,,,,,,,,,,,,
"HORIZON CONSTRUCTION AND REMODELING, LLC.",LLC,Active,1334242,2021-03-31,10 EDITH WAY,NORTH HAVEN,United States,06473,CT,GAETANOBIMONTE@COMCAST.NET,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:39.4666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"RMD ADVISORS, LLC",LLC,Active,1334243,2022-03-31,14 MARIE LANE,WALLINGFORD,United States,06492,CT,robertdemaio@rmdadvisors.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:08:39.4666667,,,,,,,,,,,,,,,,,,,,,,,,,
THE HYGGE HOME LLC,LLC,Active,1334244,2022-03-31,28 SOUTH RIDGE CT,RIDGEFIELD,United States,06877,CT,INFO2@CPS-FILINGS.COM,Domestic,2020-01-27,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:36.3400000,,,,,,,,,,,,,,,,,,,,,,,,,
"HARIA FREIGHT BROKER, PLLC",LLC,Active,1334245,2022-03-31,221 ADAMS HILL WAY,EAST WINDSOR,United States,06088,CT,Hariafreight@gmail.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Freight Transportation Arrangement (488510),,2021-11-10 00:08:36.3400000,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE COMPANIES LLC,LLC,Active,1334246,2021-03-31,83 WHISPERING HILL ROAD,WATERTOWN,United States,06795,CT,SRO2B1@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Water and Sewer Line and Related Structures Construction (237110),237110.0,2021-11-10 00:08:36.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
NORWALK COMPUTER LLC,LLC,Active,1334247,2022-03-31,97 TAYLOR AVE,NORWALK,United States,06854,CT,bozhang@norwalkcomputerservice.com,Domestic,2020-01-27,CT,Connecticut,False,False,True,False,False,Computer and Office Machine Repair and Maintenance (811212),811212.0,2021-11-10 00:08:36.3400000,,,,,,,,,,,,,,,,,,,,,,,,,
D & T NAILS LLC,LLC,Active,1334248,2022-03-31,929 BEDFORD ST,STAMFORD,United States,06905,CT,jackiewongct@gmail.com,Domestic,2020-01-27,CT,Connecticut,True,False,True,False,False,Nail Salons (812113),812113.0,2021-11-10 00:08:36.3400000,,,,,,,,,,,,,,,,,,,,,,,,,
HENNESSEY AND SONS LLC,LLC,Active,1334249,2021-03-31,"31 FLORENCE ST, SECOND FLOOR SECOND FLOOR",PUTNAM,United States,06260,CT,HENNESSEY2211@GMAIL.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:36.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"MINISTERIO CONOCIENDO LA VERDAD JUAN 8:32, INC",Non-Stock,Active,1334250,2020-04-26,No information provided,,,,,MCLVJ832@YAHOO.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Religious Organizations (813110),813110.0,2021-11-10 00:08:36.3400000,First report past due,,,,,,,,,,,,,,,,,,Failure to file First Report,,,,,,
JAVISTON LLC,LLC,Active,1334251,2022-03-31,94 BEACON HILL DRIVE,MANSFIELD,United States,06268,CT,javiston.home@gmail.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:08:36.3400000,,,,,,,,,,,,,,,,,,,,,,,,,
"BUILDERS INSTALLED PRODUCTS OF VERMONT, LLC",LLC,Active,1334252,2021-03-31,"495 S. HIGH ST., STE. 50",COLUMBUS,United States,43215,OH,PAM.HENSON@INSTALLED.NET,Foreign,2020-01-27,DE,DE,False,False,False,False,False,Other Building Finishing Contractors (238390),238390.0,2021-11-10 00:08:36.3400000,Annual report past due,2020-01-27,"BUILDERS INSTALLED PRODUCTS OF VERMONT, LLC",United States,"1209 ORANGE ST., WILMINGTON, DE, 19801, United States",1209 ORANGE ST.,WILMINGTON,DE,19801,United States,,,,,,,,,,,,,,,
"WOLF CREEK RANCH, LLC",LLC,Active,1334253,2022-03-31,213 OLD SPRINGFIELD ROAD,STAFFORD SPRINGS,United States,06076,CT,jessica.power26@gmail.com,Domestic,2020-01-27,CT,Connecticut,True,True,False,False,False,Chicken Egg Production (112310),112310.0,2021-11-10 00:08:36.3400000,,,,,,,,,,,,,,,,,,,,,,,,,
SUNNY'S NAILS & SPA INC.,Stock,Active,1334254,2022-01-29,77 SALEM TURNPIKE,NORWICH,United States,06360,CT,gxucpaaf@gmail.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Nail Salons (812113),812113.0,2021-11-10 00:08:36.3400000,,,,,,,,,,,,,,,,,200.0,,,,,,,,
OPERATION RESTORATION NY LLC,LLC,Active,1334256,2021-03-31,332 LOCUST ST #4,MOUNT VERNON,,10550,NY,OPERATIONRESTO@GMAIL.COM,Foreign,2020-01-27,NY,NY,False,False,False,False,False,Remediation Services (562910),562910.0,2021-11-10 00:08:36.3400000,Annual report past due,2020-02-01,OPERATION RESTORATION NY LLC,United States,"332 LOCUST ST #4, MOUNT VERNON, NY, 10550, United States",332 LOCUST ST #4,MOUNT VERNON,NY,10550,United States,"332 LOCUST ST #4, MOUNT VERNON, NY, 10550, United States",332 LOCUST ST #4,MOUNT VERNON,NY,10550,United States,,,,,,,,,
EASTERN CONTRACTOR SERVICES LIMITED LIABILITY COMPANY,LLC,Active,1334257,2022-03-31,"495 S. HIGH ST., STE. 50",COLUMBUS,United States,43215,OH,ibptaxdepartment@installed.net,Foreign,2020-01-27,NJ,NJ,False,False,False,False,False,Other Building Finishing Contractors (238390),238390.0,2021-11-10 00:08:36.3400000,,2020-01-27,EASTERN CONTRACTOR SERVICES LIMITED LIABILITY COMPANY,United States,"820 BEAR TAVERN RD., WEST TRENTON, NJ, 08628, United States",820 BEAR TAVERN RD.,WEST TRENTON,NJ,08628,United States,"820 BEAR TAVERN RD., WEST TRENTON, NJ, 08628, United States",820 BEAR TAVERN RD.,WEST TRENTON,NJ,08628,United States,,,,,,,,,
"GREENWICH HARBOR CRUISE LINES, LLC",LLC,Active,1334258,2022-03-31,600 STEAMBOAT RD,GREENWICH,United States,06830,CT,j_wilkes@ymail.com,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,"Scenic and Sightseeing Transportation, Water (487210)",487210.0,2021-11-10 00:08:36.3400000,,,,,,,,,,,,,,,,,,,,,,,,,
ALARCON SERVICES LLC,LLC,Active,1334259,2021-03-31,18 POPLAR ST APT 3 SOUTH,WATERBURY,United States,06708,CT,ONEOAKAGENCY@YAHOO.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:08:36.3400000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
RAVAS TRUCKING LLC,LLC,Active,1334260,2021-03-31,98 BLACKSTONE ST,BRIDGEPORT,United States,06607,CT,SMOURA@ATLANTISTAXLLC.COM,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:08:36.3566667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"CSA WILTON MEDICAL REALTY, LLC",LLC,Active,1334261,2022-03-31,100 AVON MEADOW LANE,AVON,United States,06001,CT,katiecistulli@cbfs.us,Domestic,2020-01-27,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:08:36.8866667,,,,,,,,,,,,,,,,,,,,,,,,,
"ALLIANCE RESOURCE SERVICES ONE, INC.",Stock,Active,1334263,2022-01-27,"3450 N. TRIUMPH BLVD., SUITE 102",LEHI,United States,84043,UT,businessregistration@vensure.com,Foreign,2020-01-27,UT,UT,False,False,False,False,False,Professional Employer Organizations (561330),561330.0,2021-11-10 00:08:36.8866667,,2020-02-03,"ALLIANCE RESOURCE SERVICES ONE, INC.",United States,,,,,,,,,,,,,,,,,,,,,
