name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,sub_status,date_of_organization_meeting,total_authorized_shares,dissolution_date,billing_unit,category_survey_email_address,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
ADVANTAGE ALLIANCE PRO LLC,LLC,Active,2287909,2022-03-31,"1840 N. GREENWILLE AVE., STE. 128",RICHARDSON,UNITED STATES,75081,TX,SUPPORT@ADVANTAGEALLIANCEPROGRAM.COM,Foreign,2021-06-28,,DE,False,False,False,False,False,2021-11-10 00:04:01.5866667,,2021-06-28,ADVANTAGE ALLIANCE PRO LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CARLOTZ GROUP, INC.",Stock,Active,2288218,2022-06-29,"611 BAINBRIDGE ST., STE. 100",RICHMOND,UNITED STATES,23224,VA,,Foreign,2021-06-28,,DE,False,False,False,False,False,2021-11-10 00:04:01.0400000,441120,2021-06-01,"CARLOTZ GROUP, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LINK AUCTIONS LLC (DELAWARE LLC),LLC,Active,2288327,2022-03-31,43 SHIELDS RD.,DARIEN,UNITED STATES,06820,CT,,Foreign,2021-06-28,,DE,False,False,False,False,False,2021-11-10 00:04:01.0566667,202949,2021-07-01,LINK AUCTIONS LLC (DELAWARE LLC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reclaim Connecticut, Inc.",Non-Stock,Active,2288551,2021-09-26,48 Blossom Dr,Pomfret Center,United States,06259-1735,CT,corp@reclaimct.org,Domestic,2021-06-28,,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6500000,Other Social Advocacy Organizations (813319),,,,,,,,,,,,,,,,Annual report due,2021-06-28,,,,,,,,,,,,,,
"VA7 HILLCROFT VILLAGE, LLC",LLC,Active,2288737,2022-03-31,"2082 MICHELSON DR., 4TH FL.",IRVINE,UNITED STATES,92612,CA,,Foreign,2021-06-28,,DE,False,False,False,False,False,2021-11-10 00:04:01.0100000,,2021-06-23,"VA7 HILLCROFT VILLAGE, LLC",,"1209 ORANGE ST., WILMINGTON, DE, 19801, United States",1209 ORANGE ST.,WILMINGTON,DE,19801,United States,"1209 ORANGE ST., WILMINGTON, DE, 19801, United States",1209 ORANGE ST.,WILMINGTON,DE,19801,United States,,,,,,,,,,,,,,,,
"SHI-IV SHD ENFIELD OWNER, LLC",LLC,Active,2288835,2022-03-31,"100 JERICHO QUADRANGLE, STE. 142",JERICHO,UNITED STATES,11573-2702,NY,,Foreign,2021-06-28,,DE,False,False,False,False,False,2021-11-10 00:04:01.1033333,,2021-06-24,"SHI-IV SHD ENFIELD OWNER, LLC",,"1209 ORANGE ST., WILMINGTON, DE, 19801-1120, United States",1209 ORANGE ST.,WILMINGTON,DE,19801-1120,United States,"1209 ORANGE ST., WILMINGTON, DE, 19801-1120, United States",1209 ORANGE ST.,WILMINGTON,DE,19801-1120,United States,,,,,,,,,,,,,,,,
"1903 Partners, LLC",LLC,Active,2288998,2022-03-31,800 Boylston Street 27th Floor,Boston,US,02199,MA,jdardano@gordonbrothers.com,Foreign,2021-06-28,,Delaware,False,False,False,False,False,2021-11-10 00:04:02.2133333,,2020-06-29,"1903 Partners, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVENANT PICTURES LLC,LLC,Active,2289103,2022-03-31,4 Sunset Hill Road,Simsbury,US,06070,CT,mrooney15@comcast.net,Domestic,2021-06-28,,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ViroPharma Biologics LLC,LLC,Active,2289332,2022-03-31,300 Shire Way,Lexington,US,02421,MA,andrea.grossman@takeda.com,Foreign,2021-06-28,,Delaware,False,False,False,False,False,2021-11-10 00:04:01.0100000,,2005-02-07,Shire ViroPharma LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian Leap LLC,LLC,Active,2291901,2022-03-31,150 Yantic St. #236,Norwich,US,06360,CT,goodrich974@yahoo.com,Domestic,2021-06-28,,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.0700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArTech Heating and Cooling LLC,LLC,Active,2291926,2022-03-31,136 Robert Dr.,South Windsor,US,06074,CT,artechheatingandcooling@gmail.com,Domestic,2021-06-28,,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.2133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome cutz L.L.C.,LLC,Active,2291945,2022-03-31,374 Whalley Ave.,New Haven,US,06511,CT,romellehunter@gmail.com,Domestic,2021-06-28,,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EarthInfo Corporation,Non-Stock,Active,2291978,2021-09-26,,,,,,,Domestic,2021-06-28,,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.0700000,,,,,,,,,,,,,,,,,First report past due,,,,,,,,,,,,,,,
ALL ABOUT STAGING LLC,LLC,Active,2309209,2022-03-31,28 HOBSON AVE,BRISTOL,USA,06010,CT,SHEENA.ZMUDA@YAHOO.COM,Domestic,2021-06-28,,Connecticut,False,False,False,False,False,2021-11-10 00:06:33.9933333,531390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATIONAL PHYSICIAN SERVICES PC,Stock,Active,2309405,2022-07-21,3604 BRITTON RD.,BELLINGHAM,UNITED STATES,98226,WA,JODHVIR.SARAI@HEALTHSTORE.COM,Foreign,2021-06-28,,WA,False,False,False,False,False,2021-11-10 00:06:35.1033333,,2021-06-23,NATIONAL PHYSICIAN SERVICES PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLPT SERVICE LLC,LLC,Active,2309723,2022-03-31,65 STONEHEDGE DRIVE SOUTH,GREENWICH,USA,06831,CT,MSTRA1005@AOL.COM,Domestic,2021-06-28,,Connecticut,False,False,False,False,False,2021-11-10 00:06:35.2133333,531390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OCEAN HOUSE OS, LLC",LLC,Active,2309730,2022-03-31,50 PRINZ COURT,CHESHIRE,USA,06410,CT,,Domestic,2021-06-28,,Connecticut,False,False,False,False,False,2021-11-10 00:06:35.1200000,531311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEWINGTON EXPRESS WASH, LLC",LLC,Active,2309780,2022-03-31,95 BERLIN ROAD,CROMWELL,USA,06416,CT,VPORZIO@YAHOO.COM,Domestic,2021-06-28,,Connecticut,False,False,False,False,False,2021-11-10 00:06:35.1200000,811192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J&D LANDSCAPING LLC BY VETS,LLC,Active,2309984,2022-03-31,1358 83RD STREET,BROOKLYN,USA,11228,NY,JDLBYVETERANS@GMAIL.COM,Foreign,2021-06-28,,WYOMING,False,False,False,False,False,2021-11-10 00:06:35.7900000,561730,2021-07-15,J&D LANDSCAPING LLC,USA,"1309 COFFEEN AVE, STE 1200, SHERIDAN, WY, 82801, United States","1309 COFFEEN AVE, STE 1200",SHERIDAN,WY,82801,United States,"1309 COFFEEN AVE, STE 1200, SHERIDAN, WY, 82801, United States","1309 COFFEEN AVE, STE 1200",SHERIDAN,WY,82801,United States,,,,,,,,,,,,,,,,
"PROUD ACADEMY, INC",Non-Stock,Active,2310013,2022-08-23,,,,,,PATTY.NICOLARI@GMAIL.COM,Domestic,2021-06-28,,Connecticut,False,False,False,False,False,2021-11-10 00:06:35.2300000,611110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gardner's Cottage, LLC",LLC,Active,2280749,2022-03-31,39 New Haven Rd,Seymour,United States,06483-3460,CT,jn@oakbridgeman.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:05:50.7933333,Lessors of Residential Buildings and Dwellings (531110),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VH Mining LLC,LLC,Active,2281380,2022-03-31,2 Armonk St,Greenwich,United States,06830-5803,CT,laurent@vhmining.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.7133333,Electronic Shopping and Mail-Order Houses (454110),,,United States,,,,,,,,,,,,,,,,,,laurent@vanhassels.com,,,,,,,,,,
"Fichman Enterprises, Inc.",Stock,Active,2284030,2022-07-09,38 Prattling Pond Rd,Farmington,United States,06032-1804,CT,kwackerman@pullcom.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.1800000,Offices of Physicians (except Mental Health Specialists) (621111),,,United States,,,,,,,,,,,,,,2021-07-09,100.0,,,,,,,,,,,,,
Peterle Hardwood Floor LLC,LLC,Active,2286923,2022-03-31,3401 MAIN ST,BRIDGEPORT,United States,06606,CT,meva19gg@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:00.9933333,Flooring Contractors (238330),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empress Blends LLC,LLC,Active,2287328,2022-03-31,14 croydon dr,bloomfield,United States,06002,CT,empressblends@yahoo.com,Domestic,2021-06-29,Connecticut,Connecticut,False,True,True,False,False,2021-11-10 00:04:02.2266667,Soft Drink Manufacturing (312111),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norales Rentals LLC,LLC,Active,2287365,2022-03-31,"one glover ave, norwalk, C.T",norwalk,United States,06850,CT,joelnorales@yahoo.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:00.9766667,Passenger Car Rental (532111),,,United States,,,,,,,,,,,,,,,,,410,,,,,,,,,,,
JMS Industries LLC,LLC,Rejected,2287429,,540 West Pond Meadow Rd,Westbrook,United States,06498,CT,jmsindustriesct@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6033333,,,,United States,,,,,,,,,,,,,,,,,,onlinefilings@legalzoom.com,,,,,,,,,,
Joanna Fanuko LLC,LLC,Rejected,2287502,,376 Savoy St,Bridgeport,United States,06606,CT,joannafanuko.yoga@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6033333,,,,United States,,,,,,,,,,,,,,,,,,onlinefilings@legalzoom.com,,,,,,,,,,
Alpha Green Landscaping and Construction LLC,LLC,Rejected,2287425,,210 Quarry St,Willimantic,United States,06226,CT,velasquezmany99@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.1033333,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tortured Soul Movement LLC,LLC,Rejected,2287457,,"47 Hubbard St, Apt 2",Meriden,United States,06451,CT,thetorturedsoulmovement@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.1666667,,,,United States,,,,,,,,,,,,,,,,,,onlinefilings@legalzoom.com,,,,,,,,,,
PrimeOne Logistics LLC,LLC,Rejected,2287508,,43 Vanguard St,Bridgeport,United States,06606,CT,primeonedeliveryservices@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6033333,,,,United States,,,,,,,,,,,,,,,,,,onlinefilings@legalzoom.com,,,,,,,,,,
"CNI Real Estate Development, LLC",LLC,Rejected,2287574,,73 Irma Dr,Oceanside,United States,11572-5715,NY,rbsi5642@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6333333,Lessors of Residential Buildings and Dwellings (531110),,,United States,,,,,,,,,,,,,,,,,,rbsi5642@gmail.com,,,,,,,,,,
CJD transportation LLC,LLC,Rejected,2287567,,645 Woodin St,Hamden,United States,06514,CT,carlosdelgado79694@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.1666667,,,,United States,,,,,,,,,,,,,,,,,,onlinefilings@legalzoom.com,,,,,,,,,,
Schrickel Radiology Incorporated,Stock,Rejected,2287526,,,,,,,fkandra@acctandtaxsolutions.com,Domestic,2021-06-29,Connecticut,Connecticut,True,False,False,False,False,2021-11-10 00:04:01.6800000,,,,United States,,,,,,,,,,,,,,,100.0,,,fkandra@acctandtaxsolutions.com,,,,,,,,,,
"KO Plastics, LLC",LLC,Active,2287554,2022-03-31,3 Arlene Dr,Ansonia,United States,06401-2627,CT,bdanchorsleeves@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6800000,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken Shaker's Mobile Bar LLC,LLC,Active,2287562,,426 Westport Ave,Norwalk,United States,06851-4423,CT,brokenshakerbar@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,True,False,True,False,False,2021-11-10 00:04:01.6500000,,,,United States,,,,,,,,,,,,,,,,,1002,,,,,,,,,,,
Waitheacquisitions LLC,LLC,Rejected,2287582,,"175 Capital Blvd, 4th FL",Rocky Hill,United States,06067,CT,waitheacquitisions@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6333333,,,,United States,,,,,,,,,,,,,,,,,,onlinefilings@legalzoom.com,,,,,,,,,,
"JCJ Realty 1, LLC",LLC,Active,2287741,2022-03-31,65 Timrod Trl,Glastonbury,United States,06033-1936,CT,hillary.peters@outlook.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6966667,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,United States,,,,,,,,,,,,,,,,,,hillary.peters@outlook.com,,,,,,,,,,
CT Professional Home Professional LLC,LLC,Active,2287887,2022-03-31,202 Glen Hills Rd,Meriden,United States,06451-3863,CT,ctprofessionalhi@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6800000,Residential Remodelers (236118),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuiltRight Business Center LLC,LLC,Rejected,2287735,,53 Commerce Drive,Brookfield,United States,06804,CT,matt@builtrightind.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6666667,,,,United States,,,,,,,,,,,,,,,,,Unit B2,dwhiteway@dmloganlaw.com,,,,,,,,,,
"CJ Store USA, LLC",LLC,Rejected,2287756,,14 Plumtrees Road,Danbury,United States,06810,CT,mnagibe62@yahoo.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.0566667,Other Clothing Stores (448190),,,United States,,,,,,,,,,,,,,,,,,costa@halloransage.com,,,,,,,,,,
Main St Group LLC,LLC,Active,2287781,2022-03-31,433 South Main Street,West Hartford,United States,06110,CT,hillary.peters@outlook.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.1666667,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,United States,,,,,,,,,,,,,,,,,Suite 219,hillary.peters@outlook.com,,,,,,,,,,
Wash & Dry Plus LLC,LLC,Active,2287804,2022-03-31,36 E Ferry St rear entry,New Haven,United States,06513,CT,khalfaniajuma@yahoo.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.1333333,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shand Logistics LLC,LLC,Active,2287833,2022-03-31,5 Market Place,Milford,United States,06460,CT,marlonshand@blurtoday.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6666667,"Process, Physical Distribution, and Logistics Consulting Services (541614)",,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isla Owen LLC,LLC,Rejected,2287845,,73 Second Ave,Westbrook,United States,06498,CT,ronl@lymanre.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6966667,,,,United States,,,,,,,,,,,,,,,,,,mblock@bjslawyers.com,,,,,,,,,,
Cove Landing Paddle Company L.L.C.,LLC,Active,2288269,2022-03-31,250 Hamburg Rd,Old Lyme,United States,06371-3451,CT,jen@covelanding.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6966667,Recreational Goods Rental (532284),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOE SOLUTIONS LLC,LLC,Active,2287959,2022-03-31,82 Catoona Ln,Stamford,United States,06902-4570,CT,catalina@durangoagency.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.1033333,Commercial and Institutional Building Construction (236220),,,United States,,,,,,,,,,,,,,,,,2,wendy@durangoagency.com,,,,,,,,,,
DENIS HOME REMODELING LLC,LLC,Active,2287990,2022-03-31,78 Kneen St,Shelton,United States,06484,CT,denislalaj05@icloud.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.1033333,Residential Remodelers (236118),,,United States,,,,,,,,,,,,,,,,,,orders@usa-corporate.com,,,,,,,,,,
Rona Transport LLC,LLC,Rejected,2288169,,30 Booth Ave,Wethersfield,United States,06109-1501,CT,asmira@kathysurgentcare.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.1333333,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guzman's Construction LLC,LLC,Active,2288009,2022-03-31,57 Smith St,Bridgeport,United States,06607-1621,CT,john@moranagencies.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,True,False,False,2021-11-10 00:04:01.6800000,Residential Remodelers (236118),,,United States,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Kevin Masonry LLC,LLC,Active,2288034,2022-03-31,692 Bunker Hill Ave,Waterbury,United States,06708-1837,CT,kevin_masonry@yahoo.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.1666667,Masonry Contractors (238140),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILYA Solutions LLC,LLC,Active,2288111,2022-03-31,52 Nesbit Ave,West Hartford,United States,06119-2009,CT,ilyasolutionscorp@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,True,False,True,False,False,2021-11-10 00:04:02.1666667,Electronic Shopping and Mail-Order Houses (454110),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E Smith Electric LLC,LLC,Rejected,2288106,,34 SPRING ST,PORTLAND,United States,06480,CT,filings@betterlegal.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6800000,,,,United States,,,,,,,,,,,,,,,,,,filings@betterlegal.com,,,,,,,,,,
T & T Building and Design Limited Liability Company,LLC,Rejected,2288043,,342 Starr Ridge Rd,Brewster,United States,10509-4704,NY,ttbuildinganddesign@gmail.com,Foreign,2021-06-29,NEW YORK,NEW YORK,False,False,False,False,False,2021-11-10 00:04:02.1200000,,2021-07-05,T & T Building and Design,,"342 Starr Ridge Rd, Brewster, NY, 10509-4704, United States",342 Starr Ridge Rd,Brewster,NY,10509-4704,United States,"342 Starr Ridge Rd, Brewster, NY, 10509-4704, United States",342 Starr Ridge Rd,Brewster,NY,10509-4704,United States,,,,,,,,,,,,,,,,
Banksia Engineering P.C.,Stock,Active,2288044,2022-09-21,1155 Avenue of the Americas,New York,United States,10036-2711,NY,jbarrot@banksiafire.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.1200000,Engineering Services (541330),,,United States,,,,,,,,,,,,,,2021-06-29,200.0,,STE 1900,,,,,,,,,,,
WoodenMoon Limited Liability Company,LLC,Active,2288110,2022-03-31,1 Abbott Road,Ellington,United States,06029,CT,woodenmoon488@yahoo.com,Domestic,2021-06-29,Connecticut,Connecticut,True,False,True,False,False,2021-11-10 00:04:02.1200000,,,,United States,,,,,,,,,,,,,,,,,35,stacyloswald@yahoo.com,,,,,,,,,,
80 Brooklawn LLC,LLC,Active,2288139,2022-03-31,80 Brooklawn Cir,New Haven,United States,06515-2303,CT,alsuperkauf23@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.1500000,Other Activities Related to Real Estate (531390),,,United States,,,,,,,,,,,,,,,,,,jkeyes63marvel@gmail.com,,,,,,,,,,
Woodlawn LLC,LLC,Active,2288150,2022-03-31,261 Platt Ave,West Haven,United States,06516,CT,tanveerarslan46@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,True,False,False,2021-11-10 00:04:02.1800000,Convenience Stores (445120),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMAK LOGISTIC L.L.C.,LLC,Active,2288205,2022-03-31,9 Cutler Ln,Farmington,United States,06032-3154,CT,tomaklogistics@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6333333,"General Freight Trucking, Local (484110)",,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CJ3S LLC,LLC,Active,2288212,2022-03-31,140 N Lake Shore Dr,Brookfield,United States,06804-1448,CT,rcierva@att.net,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6800000,Electronic Shopping and Mail-Order Houses (454110),,,United States,,,,,,,,,,,,,,,,,,rcierva@att.net,,,,,,,,,,
Anthony D'Alessio Inc,Stock,Active,2288192,2022-10-04,,,,,,tdalesio7477@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.1033333,All Other Support Activities for Transportation (488999),,,United States,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,
"The Little Sister, LLC",LLC,Active,2288236,2022-03-31,114 Totoket Rd,Branford,United States,06405,CT,thelittlesisterllc@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.0566667,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),,,United States,,,,,,,,,,,,,,,,,,tmarrero@goodwin.com,,,,,,,,,,
Jamie M Corona LLC,LLC,Active,2288944,2022-03-31,30 Hebron Ave,Glastonbury,United States,06033-4211,CT,jamiemcorona@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,True,False,False,False,False,2021-11-10 00:04:01.0566667,Beauty Salons (812112),,,United States,,,,,,,,,,,,,,,,,B,,,,,,,,,,,
Wilsonrental176 LLC,LLC,Active,2288286,2022-03-31,176 Chipper Rd,Waterbury,United States,06704-1101,CT,wilson.rentals176@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.6200000,Lessors of Residential Buildings and Dwellings (531110),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERNANDO SERAPIO GARCIA LLC,LLC,Active,2288291,2022-03-31,4 CLEMENT RD,NEW FAIRFIELD,United States,06812,CT,estevezkatiusca@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.7266667,Painting and Wall Covering Contractors (238320),,,United States,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
A&D Carreras Corp,Stock,Active,2288335,2022-07-29,1795 Boston Post Rd,Guilford,United States,06437-4322,CT,dlloyd@forenzique.com,Domestic,2021-06-29,Connecticut,Connecticut,True,False,False,False,False,2021-11-10 00:04:01.7266667,"Beer, Wine, and Liquor Stores (445310)",,,United States,,,,,,,,,,,,,,2021-07-22,100.0,,STE - D,dlloyd@forenzique.com,,,,,,,,,,
Tuger Consulting Firm LLC,LLC,Active,2288296,2022-03-31,357 E Center St,Manchester,United States,06040-4472,CT,tuger123@hotmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,True,True,True,2021-11-10 00:04:02.1800000,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CARPENTINO'S BUILDING & REMODELING, LLC",LLC,Active,2288322,2022-03-31,1192 NORTH HIGH STREET,EAST HAVEN,United States,06512-1022,CT,kathryn@taxseasoncpa.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:02.1333333,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deane's Auto & Truck, Inc.",Stock,Rejected,2288362,,,,,,,deanes@snet.net,Domestic,2021-06-29,Connecticut,Connecticut,True,False,False,False,False,2021-11-10 00:04:02.2133333,All Other Automotive Repair and Maintenance (811198),,,United States,,,,,,,,,,,,,,,20000.0,,,,,,,,,,,,,
Brakah Transportation Services LLC,LLC,Active,2288397,2022-03-31,245 Rye St,Broad Brook,United States,06016-9561,CT,leroy.baileyiii@brakahenterprises.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,True,False,False,2021-11-10 00:04:02.1333333,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers (423860),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skewl Psychos LLC,LLC,Active,2288431,2022-03-31,200 Regan Road,Vernon,United States,06066,CT,skewlpsychos@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.0100000,Internet Publishing and Broadcasting and Web Search Portals (519130),,,United States,,,,,,,,,,,,,,,,,Apt. 36C,fulfillment@zenbusiness.com,,,,,,,,,,
CJ Enterprise LLC,LLC,Active,2288453,2022-03-31,69 Crystal St,Wethersfield,United States,06109-1510,CT,cjenterprise1120@yahoo.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.0100000,Freight Transportation Arrangement (488510),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NicoleAdele LLC,LLC,Active,2288430,2022-03-31,299 Summit St,New Haven,United States,06513-4104,CT,nicole-adele@outlook.com,Domestic,2021-06-29,Connecticut,Connecticut,True,False,True,False,False,2021-11-10 00:04:01.7133333,Residential Property Managers (531311),,,United States,,,,,,,,,,,,,,,,,,cheneeg@hotmail.com,,,,,,,,,,
SWT LLC,LLC,Active,2288440,2022-03-31,12 Plainfield Rd,Canterbury,United States,06331-1930,CT,souzawholesaletrailers@gmail.com,Domestic,2021-06-29,Connecticut,Connecticut,False,False,False,False,False,2021-11-10 00:04:01.7133333,Automobile and Other Motor Vehicle Merchant Wholesalers (423110),,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MHC Insurance, L.L.C.",LLC,Active,2288504,2022-03-31,21420 N 52nd Ave,Glendale,United States,85308-9350,AZ,licensing@magellanfinancial.com,Foreign,2021-06-29,ARIZONA,ARIZONA,False,False,False,False,False,2021-11-10 00:04:01.7266667,Insurance Agencies and Brokerages (524210),2021-07-05,"MHC Insurance, L.L.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
