name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,category_survey_email_address,naics_code,create_dt,billing_unit,began_transacting_in_ct,business_name_in_state_country,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,total_authorized_shares,mail_jurisdiction,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,dissolution_date,mailing_international_address,records_address_unit
Lisa Aakjar Tax Services LLC,LLC,Active,2370602,2022-03-31,7 Stream Ct,Farmington,United States,06032-2143,CT,lisaaakjar@gmail.com,Domestic,United States,2021-10-25,Connecticut,Connecticut,True,False,False,False,False,,Tax Preparation Services (541213),2021-11-10 00:06:44.2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Sweet Home Inc,Stock,Rejected,2370605,,89 Adams St E,East Islip,United States,11730-1618,NY,summerfav1a@yahoo.com,Foreign,,2021-10-25,NEW YORK,NEW YORK,False,False,False,False,False,,Residential Property Managers (531311),2021-11-10 00:06:44.1866667,,2021-11-30,House Sweet Home Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin's Bakery LLC,LLC,Active,2370607,2022-03-31,115 Heron Rd,East Hartford,United States,06118-2914,CT,martinsbakeryllc@gmail.com,Domestic,United States,2021-10-25,Connecticut,Connecticut,False,False,True,False,False,,Limited-Service Restaurants (722513),2021-11-10 00:06:44.1866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSK LLC,LLC,Active,2370609,2022-03-31,126 OXFORD ROAD,OXFORD,United States,06478,CT,tejpaul.singh@gmail.com,Domestic,United States,2021-10-25,Connecticut,Connecticut,False,False,False,False,False,tejpaul.singh@gmail.com,"Beer, Wine, and Liquor Stores (445310)",2021-11-10 00:06:44.2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J&Y SUERO FLIP L.L.C.,LLC,Active,2370683,2022-03-31,172 BENNETT AVE,WATERBURY,USA,06708,CT,,Domestic,United States,2021-10-25,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENWICH PRIVATE CAR LLC,LLC,Active,2370695,2022-03-31,40 AMOGERONE CROSSWAY #527,GREENWICH,US,06830,CT,,Domestic,United States,2021-10-25,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD ENTERPRISES LLC,LLC,Active,2370703,2022-03-31,99 GREENWICH HILLS DR.,GREENWICH,USA,06831,CT,ALESSANDRADORIALIM@GMAIL.COM,Domestic,United States,2021-10-25,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.1700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JATT CARE LLC,LLC,Active,2370716,2022-03-31,6 DUDLEY TOWN RD,WINDSOR,USA,06095,CT,,Domestic,United States,2021-10-25,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTIVATED BY MONEY ENT. LLC,LLC,Active,2370725,2022-03-31,91 STRAWBERRY HILL AVE.,STAMFORD,USA,06902,CT,MBM121.ENT@GMAIL.COM,Domestic,United States,2021-10-25,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BETTER BOOKS ACCOUNTING LLC,LLC,Active,2370753,2022-03-31,89 DUNN AVE,STAMFORD,US,06905,CT,,Domestic,United States,2021-10-25,,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Legacy League Inc,Non-Stock,Active,2354019,2022-01-24,,,,,,royallegacyleague@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,True,False,True,False,False,,Civic and Social Organizations (813410),2021-11-10 00:06:46.4200000,,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP TIER LOGISTICS LLC,LLC,Rejected,2355121,,97 Plainfield St,Hartford,United States,06112-1444,CT,lewtonprescod@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vergara Enterprises LLC,LLC,Active,2356391,2022-03-31,3250 E Main St,Waterbury,United States,06705-3452,CT,vergaraangeline515@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,All Other Transit and Ground Passenger Transportation (485999),2021-11-10 00:06:47.7033333,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounting Advisory (UK) LLP,LLP,Active,2361764,2022-10-26,,,,,,aurora.eagerleavitt@marcumllp.com,Foreign,UNITED KINGDOM,2021-10-26,UNITED KINGDOM,,False,False,False,False,False,,Offices of Certified Public Accountants (541211),2021-11-10 00:06:49.3266667,,2021-03-01,Accounting Advisory (UK),,,,,,,,,,,,,United Kingdom,,,,,,,,,,,,,,
"DIKA CONSTRUCTION, INC",Stock,Active,2362516,2022-10-26,3404 Granite Ct,Wappingers Falls,United States,12590-7563,NY,fatimed89@yahoo.com,Foreign,,2021-10-26,NEW YORK,NEW YORK,False,False,False,False,False,,,2021-11-10 00:06:42.3266667,,2021-11-05,"DIKA CONSTRUCTION, INC",,,,,,,,,,,,,,,,,,,,,,,,,,,
WeCubator Technologies LLC,LLC,Active,2363127,2022-03-31,49 Lynwood Rd,Storrs Mansfield,United States,06268-2029,CT,wecubator@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,True,False,False,False,False,guojun.gan@gmail.com,Portfolio Management (523920),2021-11-10 00:06:42.3266667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CleanAir.ai Corporation USA,Stock,Active,2367132,2022-10-26,20 Church St,Hartford,United States,06103,CT,devin@cleanair.ai,Foreign,,2021-10-26,DELAWARE,DELAWARE,False,False,False,False,False,,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers (423730),2021-11-10 00:06:43.6400000,mezz,2021-11-01,CleanAir.ai Corporation USA,,,,,,,,,,,,,,,,,,,,,,,,,,30 moorehead cres Brampton ON  L6Z4K5 Canada,
UNITED CONVEYOR CORPORATION,Stock,Active,2368176,2022-10-26,2100 Norman Dr W,Waukegan,United States,60085,IL,cjenkins@urscompliance.com,Foreign,,2021-10-26,ILLINOIS,ILLINOIS,False,False,False,False,False,,Environmental Consulting Services (541620),2021-11-10 00:06:43.6100000,,2021-01-01,UNITED CONVEYOR CORPORATION,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JOHNSON HEALTH TECH RETAIL, INC.",Stock,Active,2368465,2022-10-26,1600 Landmark Dr,Cottage Grove,United States,53527-8967,WI,retail.accounting@johnsonfit.com,Foreign,,2021-10-26,WISCONSIN,WISCONSIN,False,False,False,False,False,,Sporting Goods Stores (451110),2021-11-10 00:06:44.1400000,,2021-11-01,"JOHNSON HEALTH TECH RETAIL, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPERIAL BARBER SHOP LLC,LLC,Active,2368627,2022-03-31,598 North Ave,Bridgeport,United States,06606-5727,CT,kellysouzadmv@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.1400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origin Marketing Solutions LLC,LLC,Active,2368809,2022-03-31,1961 Huntington Turnpike,Trumbull,United States,06611,CT,kanjosvuk@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Advertising Agencies (541810),2021-11-10 00:06:43.5766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUEDES SERVICES LLC,LLC,Active,2369056,2022-03-31,254 E Waterbury Rd,Naugatuck,United States,06770-2110,CT,oneoakagency@yahoo.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Residential Remodelers (236118),2021-11-10 00:06:43.5133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URBAN EATS LLC,LLC,Active,2369107,2022-03-31,19 Brian Road,South Windsor,United States,06074,CT,delisheats07@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Offices of Other Holding Companies (551112),2021-11-10 00:06:43.5933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 PINE STREET CORP.,Stock,Active,2369110,2022-10-26,"800 Westchester Ave, Ste. 301",Rye Brook,United States,10573,NY,rweisz@rpwgroup.com,Foreign,,2021-10-26,NEW YORK,NEW YORK,False,False,False,False,False,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:06:44.1233333,,2021-10-22,50 PINE STREET CORP.,,,,,,,,,,,,,,,,,,,,,,,,,,,
277 NORTH AVENUE CORP.,Stock,Active,2369146,2022-10-26,"800 Westchester Ave, Ste.  301",Rye Brook,United States,10573,NY,rweisz@rpwgroup.com,Foreign,,2021-10-26,NEW YORK,NEW YORK,False,False,False,False,False,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:06:43.5600000,,2021-10-22,277 NORTH AVENUE CORP.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riverside Community Care, Inc.",Non-Stock,Active,2369223,2022-10-26,270 Bridge Street,Dedham,United States,02026,MA,claire@labyrinthinc.com,Foreign,,2021-10-26,MASSACHUSETTS,MASSACHUSETTS,False,False,False,False,False,,Other Individual and Family Services (624190),2021-11-10 00:06:43.5933333,Suite 301,2021-11-01,"Riverside Community Care, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
JERRY OFFERS INC.,Stock,Active,2369324,2022-10-26,430 Sherman Ave,Palo Alto,United States,94306,CA,lina@getjerry.com,Foreign,,2021-10-26,DELAWARE,DELAWARE,False,False,False,False,False,,Consumer Lending (522291),2021-11-10 00:06:43.6233333,Suite 305,2022-02-01,JERRY OFFERS INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timeless Guidance Family Therapy, LLC",LLC,Active,2369757,2022-03-31,969 West Main St,Waterbury,United States,06708,CT,timelessguidancefamilytherapy@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,True,False,True,True,False,,Offices of Mental Health Practitioners (except Physicians) (621330),2021-11-10 00:06:44.2166667,Suite 2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITOR PROPERTIES LLC,LLC,Active,2370244,2022-03-31,598 De Mott Avenue,Baldwin,United States,11510,NY,kwen.james@pitorproperties.com,Foreign,,2021-10-26,NEW YORK,NEW YORK,False,False,False,False,False,,,2021-11-10 00:06:44.1866667,,2021-10-25,PITOR PROPERTIES LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epstein's Fine Furs LLC,LLC,Active,2370426,2022-03-31,67 Woodland Clove Rd,Phoenicia,United States,12464,NY,zachzgolden@gmail.com,Foreign,,2021-10-26,NEW YORK,NEW YORK,False,False,False,False,False,,Motion Picture and Video Production (512110),2021-11-10 00:06:44.6700000,#291,2021-10-01,Epstein's Fine Furs,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akurate Dynamics, LLC",LLC,Active,2370437,2022-03-31,7618 Bluff Point Drive,Houston,United States,77086,TX,jpatel@akuratedynamics.com,Foreign,,2021-10-26,TEXAS,TEXAS,False,False,False,False,False,,Other Industrial Machinery Manufacturing (333249),2021-11-10 00:06:44.2333333,,2021-11-08,"Akurate Dynamics, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixville Construction & Excavation LLC,LLC,Active,2370460,2022-03-31,351 Mixville Rd,Cheshire,United States,06410-1907,CT,mixville.construction@yahoo.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,"Other Foundation, Structure, and Building Exterior Contractors (238190)",2021-11-10 00:06:44.6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FROM, The Digital Transformation Agency, Inc.",Stock,Active,2370480,2022-10-26,1 Aspen Court,Mahwah,United States,07430,NJ,govdocs@corpcreations.com,Foreign,,2021-10-26,NEW JERSEY,NEW JERSEY,False,False,False,False,False,,Computer Systems Design Services (541512),2021-11-10 00:06:44.2333333,,2021-10-25,"FROM, The Digital Transformation Agency, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDEALIST.ORG, INC.",Non-Stock,Active,2370482,2022-10-26,2389 Main St. STE 100,Glastonbury,United States,06033,CT,eastern@northwestregisteredagent.com,Foreign,,2021-10-26,NEW YORK,NEW YORK,False,False,False,False,False,,All Other Information Services (519190),2021-11-10 00:06:44.2166667,,2021-10-25,"IDEALIST.ORG, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrade Counseling Services LLC,LLC,Active,2370615,2022-03-31,21 Rhodes Rd,Rocky Hill,United States,06067,CT,jason.andrade.lcsw@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Offices of Mental Health Practitioners (except Physicians) (621330),2021-11-10 00:06:44.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM AUTO LLC,LLC,Active,2370619,2022-03-31,88 Mulloy Rd,Waterbury,United States,06705-3483,CT,bmautocare.12@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,All Other Automotive Repair and Maintenance (811198),2021-11-10 00:06:44.1700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attic Nook Vintage LLC,LLC,Active,2370630,2022-03-31,35 Pine Rd.,Jewett city,United States,06351,CT,shop@atticnookvintage.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.2633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELI & CO Partners LLC,LLC,Active,2370632,2022-03-31,"167 Old Post Rd, Suite 3A",Southport,United States,06890,CT,dar.group@icloud.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Thorns LLC,LLC,Active,2370637,2022-03-31,"111 Towne St., Apt. 114",Stamford,United States,06902,CT,deven@allthorns.co,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Marketing Consulting Services (541613),2021-11-10 00:06:44.2633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandemic Movers LLC,LLC,Active,2370638,2022-03-31,102 S Point Dr.,Chadds Ford,United States,19317,PA,michael.d.agosto@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Used Household and Office Goods Moving (484210),2021-11-10 00:06:44.1866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parrilla Landholdings LLC,LLC,Active,2370670,2022-03-31,305 Lenox St,New Haven,United States,06513,CT,parrillalandholdings@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOWWW NAILS BY LING AND LAMB LLC,LLC,Active,2370666,2022-03-31,20 DAY STREET APT 205,NORWALK,United States,06854,CT,lingandlamb@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,cpanchana@blumb.com,Nail Salons (812113),2021-11-10 00:06:44.2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mel�s retail llc,LLC,Active,2370677,2022-03-31,399 Fountain St,New Haven,United States,06515-2613,CT,melsretailllc@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,True,False,False,,,2021-11-10 00:06:44.1700000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syndicate Group USA Inc,Stock,Active,2370707,2022-10-26,2389 Main St.,Glastonbury,United States,06033,CT,funding@syndicategroupusa.com,Foreign,,2021-10-26,NEW YORK,NEW YORK,False,False,False,False,False,,,2021-11-10 00:06:44.6866667,Suite 100,2021-11-01,Syndicate Group USA Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lacasse enterprises Limited Liability Company,LLC,Active,2370675,2022-03-31,85 Alice St,Torrington,United States,06790-3610,CT,stevelacasse71@yahoo.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,stevelacasse71@yahoo.com,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:44.1866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Doyen L.L.C.,LLC,Active,2370681,2022-03-31,1 Riverview Street,Essex,United States,06426,CT,pbdoyen@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,pbdoyen@gmail.com,Miscellaneous Financial Investment Activities (523999),2021-11-10 00:06:44.1866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMW Therapy LLC,LLC,Active,2370678,2022-03-31,"38 Oxford St, Fl. 1",Norwalk,United States,06854,CT,gmwtherapy@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.1866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nourish Connecticut LLC,LLC,Active,2370692,2022-03-31,540 Hulls Farm Rd,Southport,United States,06890-1030,CT,nourishct@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Offices of All Other Miscellaneous Health Practitioners (621399),2021-11-10 00:06:44.1866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAS Education Solutions LLC,LLC,Active,2370697,2022-03-31,40 Four Brooks Rd,Stamford,United States,06903-4615,CT,nicole.scariano@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Educational Support Services (611710),2021-11-10 00:06:44.1866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR OA LLC,LLC,Active,2370700,2022-03-31,1626 E 36TH STREET,BROOKLYN,United States,11234-4219,NY,sales@fileacorp.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,sales@fileacorp.com,Other Activities Related to Real Estate (531390),2021-11-10 00:06:44.1700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Consulting Group LLC,LLC,Active,2370713,2022-03-31,26 Dogwood Dr,Danbury,United States,06811-4531,CT,heartyrenee@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,True,False,False,False,False,,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:06:44.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Students of STEM Corporation,Non-Stock,Active,2370720,2022-01-24,,,,,,thestudentsofstem@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Exam Preparation and Tutoring (611691),2021-11-10 00:06:44.1866667,,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nowak Landscaping, LLC",LLC,Active,2370748,2022-03-31,7 Patriot Ridge Rd,Sandy Hook,United States,06482-1072,CT,nowak531@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Landscaping Services (561730),2021-11-10 00:06:44.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earth Grown Wellness LLC,LLC,Active,2370740,2022-03-31,2046 Boston Post Road,Westbrook,United States,06498,CT,earthgrownwellnessnl@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:44.2333333,Suite 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAHVE CONSTRUTION Limited Liability Company,LLC,Active,2370742,2022-03-31,701  S MAIN ST,WATERBURY,United States,06706,CT,novatelma2@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Roofing Contractors (238160),2021-11-10 00:06:44.2500000,A-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMB Property Partners LLC,LLC,Active,2370754,2022-03-31,1840 State St,Hamden,United States,06517-3815,CT,smancuso1956@comcast.net,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elder Solutions, LLC",LLC,Active,2370780,2022-03-31,100 Prospect Avenue,Hartford,United States,06106,CT,sweis314@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,True,False,False,False,False,leann@castanhocpa.com,All Other Personal Services (812990),2021-11-10 00:06:44.6866667,Apt 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLEX STAFFING SOLUTION LLC,LLC,Active,2370750,2022-03-31,157 Orford Street,West Haven,United States,06516-2566,CT,rolextops@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,True,False,False,,,2021-11-10 00:06:44.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zero down guys llc,LLC,Active,2370771,2022-03-31,328 Scarborough Ln,Middletown,United States,06457-7548,CT,zerodownguysllc@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135 PRINCETON STREET LLC,LLC,Active,2370776,2022-03-31,268 Rowland Rd,Fairfield,United States,06824-6625,CT,trevorgrauer@yahoo.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,attyrhilg@gmail.com,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:44.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T SPA LLC,LLC,Active,2370787,2022-03-31,236 Spencer St,Manchester,United States,06040-4618,CT,minhhang.eraway@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,True,False,False,minhhang.eraway@gmail.com,All Other Personal Services (812990),2021-11-10 00:06:44.2633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUDAICA JUNIOR LLC,LLC,Active,2370810,2022-03-31,76 EUCLID AVE,WATERBURY,United States,06710,CT,ccgifter@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,ccgifter@gmail.com,"Gift, Novelty, and Souvenir Stores (453220)",2021-11-10 00:06:44.2633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIGUEL A BRIONES LLC,LLC,Active,2370777,2022-03-31,231 Hall Ave,Meriden,United States,06450-6518,CT,sampablodiaz@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,sampablodiaz@gmail.com,Janitorial Services (561720),2021-11-10 00:06:44.1866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Pinsoneault Carpentry LLC,LLC,Active,2370806,2022-03-31,19 Windmill Hill Road,Branford,United States,06405,CT,rpinson45@sbcglobal.net,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,philipmadonna@yahoo.com,All Other Specialty Trade Contractors (238990),2021-11-10 00:06:44.1866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANASH BROTHERS LLC,LLC,Active,2370795,2022-03-31,115 West Rd,Ellington,United States,06029-3775,CT,mohammadtanash@icloud.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:44.2333333,2207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chat with Botz LLC,LLC,Active,2370826,2022-03-31,34 Sartori Rd,Stafford Springs,United States,06076-3904,CT,info@chatwithbotz.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,True,False,False,False,False,,Other Computer Related Services (541519),2021-11-10 00:06:44.6700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mwamba Family Health Care Foundation Inc.,Non-Stock,Active,2370815,2022-01-24,,,,,,mgeorgengoy@yahoo.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,True,False,False,,Emergency and Other Relief Services (624230),2021-11-10 00:06:44.1700000,,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,
MMC SPORTS L.L.C.,LLC,Active,2370842,2022-03-31,20 RICHARD ST,ANSONIA,United States,06401,CT,efile1234@incfile.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,Sporting and Athletic Goods Manufacturing (339920),2021-11-10 00:06:44.2633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slade Investments LLC,LLC,Active,2370863,2022-03-31,70 Shelter Rock Rd,Stamford,United States,06903,CT,investwithslade@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,Other Activities Related to Real Estate (531390),2021-11-10 00:06:44.6866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Ridge LLC,LLC,Active,2370827,2022-03-31,122 Danbury Rd,New Milford,United States,06776,CT,terryridge.llc@icloud.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,jwells.ct@icloud.com,Residential Property Managers (531311),2021-11-10 00:06:44.2333333,#1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVERVIEW APARTMENTS 88 LLC,LLC,Active,2370829,2022-03-31,417 7TH AVENUE,BROOKLYN,United States,11215,NY,jim@weinbergpc.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,jim@weinbergpc.com,,2021-11-10 00:06:44.2333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benny's Dump Runs Limited Liability Company,LLC,Active,2370837,2022-03-31,45 Sedgewick Ave,Stratford,United States,06615-6865,CT,bennyforman@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,True,False,False,,,2021-11-10 00:06:44.6700000,Rear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lumibelle LLC,LLC,Active,2370840,2022-03-31,132 Heathridge Road,Hamden,United States,06514,CT,lumibelleinfo@gmail.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,,All Other General Merchandise Stores (452319),2021-11-10 00:06:44.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACJ5 LLC,LLC,Active,2370862,2022-03-31,73 WEST AVE,STAMFORD,United States,06902,CT,efile1234@incfile.com,Domestic,United States,2021-10-26,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,General Warehousing and Storage (493110),2021-11-10 00:06:44.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS Emerging Markets MA Fund, L.P. Limited Liability Partnership",LLP,Active,2370850,2022-10-26,,,,,,djf@absinv.com,Foreign,,2021-10-26,DELAWARE,DELAWARE,False,False,False,False,False,,Other Financial Vehicles (525990),2021-11-10 00:06:44.1866667,,2021-11-01,"ABS Emerging Markets MA Fund, L.P.",,,,,,,,"1209 N Orange St, Wilmington, DE, 19801-1120, United States",1209 N Orange St,Wilmington,DE,19801-1120,United States,,,,,,,,,,,,,,
