name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billing_unit,billingcountry,business_email_address,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,category_survey_email_address,date_of_organization_meeting
COVE MANAGEMENT PARTNERS LLC,LLC,Active,Ready for dissolution,1277082,2019-03-31,49 PRATT STREET,ESSEX,06426,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.1500000,,,ROB@FEDTAXSERVICES.COM,,,,,,,,,,,,,,,,,,,,,
"BALDWIN ENTERPRISES, LLC",LLC,Active,Ready for dissolution,1277084,2019-03-31,92 MANSFIELD AVE.,DARIEN,06820,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.1500000,,,ANGIE@PREMIERCFS.COM,,,,,,,,,,,,,,,,,,,,,
TIMBERWOLF CONTRACTING LLC.,LLC,Active,Ready for dissolution,1277087,2019-03-31,199 TOLL GATE ROAD,GROTON,06340,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.1500000,,,TIMBER.ASHE@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,
"TRANSPORTE MARINERO, INC.",Stock,Active,Ready for dissolution,1277088,2019-06-22,809 EAST MAIN STREET,STAMFORD,06902,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.1500000,,,,200.0,,,,,,,,,,,,,,,,,,,,
"ROWCON, LLC",LLC,Active,,1277089,2022-03-31,5265 PARKWAY PLAZA BOULEVARD SUITE 130,CHARLOTTE,28217,NC,Foreign,2018-06-22,DE,DE,False,False,False,False,False,,2021-11-10 00:08:26.1500000,,United States,apdept@row-con.com,,2018-07-02,"ROWCON, LLC",United States,"160 GREENTREE DRIVE SUITE 101, DOVER, DE, 19904,",160 GREENTREE DRIVE SUITE 101,DOVER,DE,19904,,Site Preparation Contractors (238910),,"160 GREENTREE DRIVE SUITE 101, DOVER, DE, 19904, United States",160 GREENTREE DRIVE SUITE 101,DOVER,DE,19904,United States,,,
"NOW, IN COLOR LLC",LLC,Active,Ready for dissolution,1277090,2019-03-31,78 OLIVE STREET APT. 215,NEW HAVEN,06511,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.1500000,,United States,ANGIE@PREMIERCFS.COM,,,,,,,,,,,,,,,,,,,,,
"MUELLER GREENE, LLC",LLC,Active,,1277091,2022-03-31,"300 STATE STREET, SUITE 209",NEW LONDON,06320,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.1500000,,United States,victoria@muellergreene.com,,,,,,,,,,,Offices of Lawyers (541110),,,,,,,,,,
HIGH RIDGE FRAMING LLC,LLC,Active,Ready for dissolution,1277100,2019-03-31,7 LINDEN PLACE APT 2,DANBURY,06810,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.1500000,,,FLAVIA@MIRANTEAGENCY.COM,,,,,,,,,,,,,,,,,,,,,
"JUBILANT DRAXIMAGE RADIOPHARMACIES, INC.",Stock,Active,Ready for dissolution,1277101,2019-06-22,"4205 VINELAND RD., SUITE L1",ORLANDO,32811,FL,Foreign,2018-06-22,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.6333333,,,SJULIAN@TRIADISOTOPES.COM,,2018-06-11,"JUBILANT DRAXIMAGE RADIOPHARMACIES, INC.",,,,,,,,,,,,,,,,,,
LEONARDO YANCA CLEANING LLC,LLC,Active,Ready for dissolution,1277103,2019-03-31,104 WEST ST 104 WEST ST,DANBURY,06810,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.6333333,,,EDAFIESCHI@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"LINDEN HALL, LLC",LLC,Active,,1277111,2022-03-31,229 NORTH MAIN ST,STONINGTON,06378,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,,United States,lw@lawsonwillard.com,,,,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,
STERLING ESTATES LLC,LLC,Active,Ready for dissolution,1277112,2019-03-31,309 RUTLEDGE ST STE 2A,BROOKLYN,11211,NY,Domestic,2018-06-22,NY,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.6333333,,,MOSES@PREMIUMGT.COM,,,,,,,,,,,,,,,,,,,,,
KAMJACK LLC,LLC,Active,,1277113,2022-03-31,230 BEECH TREE DRIVE,ELLIJAY,30540,GA,Domestic,2018-06-22,GA,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,,United States,pjcalamari@gmail.com,,,,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,
"TCGPLAYER, INC.",Stock,Active,,1277114,2022-06-22,440 S WARREN ST STE 100,SYRACUSE,13202,NY,Foreign,2018-06-22,DE,DE,False,False,False,False,False,,2021-11-10 00:08:26.6333333,,United States,accounting@tcgplayer.com,,2018-02-15,"TCGPLAYER, INC.",United States,,,,,,,Electronic Shopping and Mail-Order Houses (454110),454110.0,,,,,,,,,
"HJW, LLC",LLC,Active,,1277115,2022-03-31,101 CHURCH ROAD UNIT 3,SOUTHBURY,06488,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,,United States,jcoploff@tclaw.biz,,,,,,,,,,,All Other Information Services (519190),519190.0,,,,,,,,,
"IDK 517, LLC",LLC,Active,Ready for dissolution,1277117,2019-03-31,1032 SILVERMINE RD,NEW CANAAN,06840,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.6333333,,,LAPOULIS@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
PETE'S LOGIC PROPERTIES LLC,LLC,Active,,1277118,2022-03-31,19 CADWELL CRT,NEW BRITAIN,06051,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,,United States,peterplewa@outlook.com,,,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,
PETE'S LOGIC LLC,LLC,Active,,1277119,2022-03-31,19 CADWELL CRT,NEW BRITAIN,06051,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,,United States,peterplewa@outlook.com,,,,,,,,,,,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,,,,,,,,,
NAPOLI MATTATUCK LLC,LLC,Active,Annual report past due,1277120,2021-03-31,58 PLEASANT DRIVE,SOUTHBURY,06488,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6333333,,United States,mchase@napolifoodsinc.com,,,,,,,,,,,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,
MCR NEW HAVEN LLC,LLC,Active,,1277122,2022-03-31,1503 LBJ FREEWAY SUITE 300,DALLAS,75234,TX,Foreign,2018-06-22,DE,DE,False,False,False,False,False,,2021-11-10 00:08:26.6333333,,United States,complianceteam@cogencyglobal.com,,2018-07-01,MCR NEW HAVEN LLC,United States,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,United States,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) (533110),533110.0,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,United States,,,
"SEARCH GROUP PARTNERS, INC.",Stock,Withdrawn,,1277124,2019-06-22,515 SOUTH 700 EAST #3Q,SALT LAKE CITY,84102,UT,Foreign,2018-06-22,DE,DE,False,False,False,False,False,,2021-11-10 00:08:26.6333333,,,CHAD@SEARCHGROUPPARTNERS.COM,,2018-06-22,"SEARCH GROUP PARTNERS, INC.",,,,,,,,,,,,,,,,,,
MCR NEW HAVEN TENANT LLC,LLC,Active,,1277125,2022-03-31,1503 LBJ FREEWAY SUITE 300,DALLAS,75234,TX,Foreign,2018-06-22,DE,DE,False,False,False,False,False,,2021-11-10 00:08:26.6333333,,United States,complianceteam@cogencyglobal.com,,2018-07-01,MCR NEW HAVEN TENANT LLC,United States,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,United States,Hotels (except Casino Hotels) and Motels (721110),721110.0,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,United States,,,
"FELDERWORKS, INCORPORATED",Stock,Active,First report past due,1277126,2020-06-22,No information provided,,,,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:08:26.6333333,,,INFO@DRIVEN2INSPIRE.COM,20000.0,,,,,,,,,,,,,,,,,,,,
SOCIALLY SPEAKING LLC,LLC,Active,,1277127,2022-03-31,20 CAWLEY STREET,BRISTOL,06010,CT,Domestic,2018-06-22,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:26.6666667,,United States,marla@sociallyspeakingplus.com,,,,,,,,,,,Other Personal Care Services (812199),,,,,,,,,,
"ANESTHESIA SOLUTIONS, LLC",LLC,Active,,1277128,2022-03-31,23 TRAILSIDE DRIVE,MONROE,06468,CT,Domestic,2018-06-22,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:26.6666667,,United States,nmoriber1@aol.com,,,,,,,,,,,All Other Miscellaneous Schools and Instruction (611699),611699.0,,,,,,,,,
"J G L & C, LLC",LLC,Active,Ready for dissolution,1277129,2020-03-31,105 PINK ROW,UNCASVILLE,06382,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.6666667,,United States,GARYLEITKOWSKI@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
PRINCE PROPERTIES LLC,LLC,Active,,1277130,2022-03-31,419 FEDERAL ROAD,BROOKFIELD,06804,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6666667,,United States,pete@sunburstlandscapingct.com,,,,,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,
"3 GEN HOLDING, LLC",LLC,Active,,1277131,2022-03-31,7 INDUSTRIAL AVE.,MAHWAH,07430,NJ,Domestic,2018-06-22,NJ,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6666667,,United States,dritz@prestigeops.com,,,,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,
WELL BL OPCO LLC,LLC,Active,,1277132,2022-03-31,4500 DORR ST.,TOLEDO,43615,OH,Foreign,2018-06-22,DE,DE,False,False,False,False,False,,2021-11-10 00:08:26.6666667,,United States,Compliancemail@cscinfo.com,,2018-06-22,WELL BL OPCO LLC,United States,"251 LITTLE FALLS DR., WILMINGTON, DE, 19808,",251 LITTLE FALLS DR.,WILMINGTON,DE,19808,,Other Activities Related to Real Estate (531390),531390.0,"251 LITTLE FALLS DR., WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR.,WILMINGTON,DE,19808,United States,,,
KLJ NATIONAL PAINTING INC,Stock,Active,First report past due,1277133,2020-06-22,No information provided,,,,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:08:26.6666667,,,ACCOUNTANT@TAXZONEFL.COM,100.0,,,,,,,,,,,,,,,,,,,,
OG PROPERTIES LLC,LLC,Active,,1277135,2022-03-31,11 SHORE ROAD,OLD GREENWICH,06870,CT,Domestic,2018-06-22,CT,Connecticut,False,True,False,False,False,,2021-11-10 00:08:26.6666667,,United States,margretcallahan1969@gmail.com,,,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,
ROWAYTON GOURMET INC.,Stock,Active,First report past due,1277137,2020-06-22,No information provided,,,,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:08:26.6666667,,,SLEBOWITZ@ZNCLAW.COM,20000.0,,,,,,,,,,,,,,,,,,,,
1100 KING ASSOCIATES LLC,LLC,Active,Ready for dissolution,1277138,2019-03-31,"200 MADISON AVE., 29TH FL.",NEW YORK,10016,NY,Foreign,2018-06-22,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.6666667,,,,,2018-06-23,1100 KING ASSOCIATES LLC,,"C/O 251 LITTLE FALLS DR., WILMINGTON, DE, 19808,",C/O 251 LITTLE FALLS DR.,WILMINGTON,DE,19808,,,,"C/O 251 LITTLE FALLS DR., WILMINGTON, DE, 19808,",C/O 251 LITTLE FALLS DR.,WILMINGTON,DE,19808,,,,
LINKEDIN CORPORATION,Stock,Active,,1277139,2022-06-22,1000 WEST MAUDE AVE.,SUNNYVALE,94085,CA,Foreign,2018-06-22,DE,DE,False,False,False,False,False,,2021-11-10 00:08:26.6666667,,United States,suchow@linkedin.com,,2010-09-01,LINKEDIN CORPORATION,United States,,,,,,,"Data Processing, Hosting, and Related Services (518210)",518210.0,,,,,,,,,
"GE PACKAGED POWER, LLC",LLC,Active,,1277140,2022-03-31,16415 JACINTOPORT BLVD,HOUSTON,77015,TX,Foreign,2018-06-22,DE,DE,False,False,False,False,False,,2021-11-10 00:08:26.6800000,,United States,LISA.BREYMEIER@GE.COM,,2018-06-22,"GE PACKAGED POWER, LLC",United States,"1209 ORANGE STREET, WILMINGTON, DE, 19801,",1209 ORANGE STREET,WILMINGTON,DE,19801,,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers (423860),423860.0,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,,,
"SPEEDRACK PRODUCTS GROUP, LTD.",Stock,Active,,1277141,2022-06-22,7903 VENTURE AVE NW,SPARTA,49345,MI,Foreign,2018-06-22,MI,MI,False,False,False,False,False,,2021-11-10 00:08:26.6800000,,United States,bvanderploeg@speedrack.net,,2018-07-01,"SPEEDRACK PRODUCTS GROUP, LTD.",United States,,,,,,,All Other Miscellaneous Fabricated Metal Product Manufacturing (332999),332999.0,,,,,,,,,
"AJITH FOOD SERVICE, LLC",LLC,Active,Ready for dissolution,1277142,2019-03-31,397 FOXON BLVD B1,NEW HAVEN,06513,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.6800000,,,JVR.ATLANTICA@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
JAY SPIRITS LLC,LLC,Active,,1277143,2022-03-31,192 ROSETTE STREET,NEW HAVEN,06519,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6800000,,United States,ROSETTE@BVSMS.NET,,,,,,,,,,,"Beer, Wine, and Liquor Stores (445310)",,,,,,,,,,
"SNJ CAPITAL, LLC",LLC,Active,Ready for dissolution,1277144,2019-03-31,857 DURHAM RD,MADISON,06443,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.6800000,,,SNJCAPITAL211@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
SHREE UMIYA KRUPA NEWS & LOTTO LLC,LLC,Dissolved,,1277145,2019-03-31,400 BOSTON POST ROAD,MILFORD,06460,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6800000,,,MPATEL1010@GMAIL.COM,,,,,,,,,,,,,,,,,,,2021-02-02T00:00:00.000,,
"IT'S A DREAM ENTERPRISES, LLC",LLC,Active,,1277146,2022-03-31,12 THUNDER LAKE RD,WILTON,06897,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6800000,,United States,mary@hair4good.com,,,,,,,,,,,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,,,,,,,,,
NORWICH HOMES LLC,LLC,Active,,1277147,2022-03-31,115 Spring Valley Rd,Mystic,06355-1072,CT,Domestic,2018-06-22,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:08:26.6800000,,United States,Helpfulhomesllc@gmail.com,,,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,
OPEN SOURCE TUTORING INC.,Non-Stock,Active,First report past due,1277148,2020-06-22,No information provided,,,,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:08:26.7133333,,,OPENSOURCETUTORING@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
LIVING HISTORY LLC,LLC,Active,Ready for dissolution,1277149,2019-03-31,84 HARLEM AVE,BRIDGEPORT,06606,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7133333,,,DAYNA.LINDO12@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"MIAROSE II, INC.",Stock,Active,First report past due,1277150,2020-06-22,No information provided,,,,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:08:26.7133333,,,,1000.0,,,,,,,,,,,,,,,,,,,,
"EAGLE WAY TRANSPORTATION, LLC",LLC,Active,Ready for dissolution,1277151,2020-03-31,24 GIDDINGS AVE,WINDSOR,06095,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7133333,,,pereztransportation@gmail.com,,,,,,,,,,,,,,,,,,,,,
860 ORANGE AVENUE LLC,LLC,Active,Ready for dissolution,1277154,2020-03-31,1046 ORANGE AVENUE,WEST HAVEN,06516,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7133333,,United States,torkamani@elitemotorscorp.com,,,,,,,,,,,,,,,,,,,,,
"STEIN FAMILY, LLC",LLC,Active,,1277157,2022-03-31,4 DRUMLIN ROAD,WESTPORT,06880,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7133333,,United States,tbeckoff@yahoo.com,,,,,,,,,,,Residential Property Managers (531311),,,,,,,,,,
"PLATINUM FINANCIAL, LLC",LLC,Active,,1277158,2022-03-31,73 RUSS ST,HARTFORD,06106,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7133333,,United States,intrepidpropmgt@gmail.com,,,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,,,
FRAGRANT AURA LLC,LLC,Active,,1277159,2022-03-31,119 Stiles Rd,Southbury,06488,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7133333,,United States,fragrantaura77@gmail.com,,,,,,,,,,,"Gift, Novelty, and Souvenir Stores (453220)",453220.0,,,,,,,,,
ERIN PAREKH LLC,LLC,Domesticated,,1277162,2022-03-31,77 HAVEMEYER LN UNIT 313,STAMFORD,06902,CT,Domestic,2018-06-22,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:26.7133333,,United States,erin@erinparekh.com,,,,,,,,,,,Other Personal Care Services (812199),812199.0,,,,,,,,,
ALTITUDE FUEL INC.,Stock,Active,Annual report past due,1277163,2021-06-22,1110 SOUTH AVENUE SUITE 41-43,STATEN ISLAND,10314,NY,Foreign,2018-06-22,NY,NY,False,False,False,False,False,,2021-11-10 00:08:26.7133333,,United States,jhopkovitz@altitudefuel.com,,2018-07-01,ALTITUDE FUEL INC.,United States,,,,,,,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) (424720),424720.0,,,,,,,,,
LOCKWELL INSIGHTS LLC,LLC,Active,Ready for dissolution,1277164,2019-03-31,7 STRATFORD RD,FARMINGTON,06032,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7133333,,,,,,,,,,,,,,,,,,,,,,,,
CAVEMAN CRYOTHERAPY LLC,LLC,Active,Ready for dissolution,1277168,2019-03-31,842 CLARK AVE.,BRISTOL,06010,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7133333,,,MSMCHUGH02@SNET.NET,,,,,,,,,,,,,,,,,,,,,
"BLACK SHEEP PROPERTIES - 464, LLC",LLC,Active,,1277170,2022-03-31,95 HARTFORD AVE,NEWINGTON,06111,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7433333,,United States,blacksheepproperties@yahoo.com,,,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,,,
FAIRFIELD COUNTY PLUMBING SERVICE LLC,LLC,Active,Ready for dissolution,1277171,2019-03-31,235 HOUSATONIC AVE,STRATFORD,06615,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7433333,,,CTXHC203@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"ALICEA DETAILING,LLC",LLC,Active,Ready for dissolution,1277172,2019-03-31,42 PETERS CIRCLE,SOUTHINGTON,06489,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7433333,,,LYNNTTGRC@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
CRESPO PROPERTIES LLC,LLC,Active,,1277173,2022-03-31,102 RENEE STREET,BRISTOL,06010,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7433333,,United States,Master121261@gmail.com,,,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,
"399 NORTH COLONY STREET, LLC",LLC,Active,,1277174,2022-03-31,1180 NORTH COLONY ROAD,WALLINGFORD,06492,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7433333,,United States,lzampano@executiveag.com,,,,,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,
"SOUTHBURY FOP LODGE 35, INC.",Non-Stock,Active,Annual report past due,1277175,2022-06-10,421 MAIN STREET SOUTH,SOUTHBURY,06488,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7433333,,United States,SOUTHBURYPOLICEASSOCIATION@GMAIL.COM,,,,,,,,,,,Labor Unions and Similar Labor Organizations (813930),,,,,,,,,,
"MITCHEL HOLDINGS, LLC",LLC,Active,,1277176,2022-03-31,"BLAIR & POTTS, 107 ELM STREET, 4TH FL.",STAMFORD,06902,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7433333,,United States,gpareja@blairandpotts.com,,,,,,,,,,,Miscellaneous Financial Investment Activities (523999),523999.0,,,,,,,,,
GREEN LIFE WELLNESS LLC,LLC,Active,,1277177,2022-03-31,138 EASTFORD RD,ASHFORD,06278,CT,Domestic,2018-06-22,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:26.7433333,,United States,carly@glwnutrition.com,,,,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,
2135 BOSTON LLC,LLC,Active,Ready for dissolution,1277178,2019-03-31,2135 BOSTON AVE 2135 BOSTON AVE,BRIDGEPORT,06610,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7433333,,,JJTX2001@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
YANKEE TOYS INCORPORATED,Non-Stock,Active,,1277179,2022-06-22,74 WASHINGTON AVENUE SUITE 176,NORTH HAVEN,06473,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7433333,,United States,yankeetoys4wd@gmail.com,,,,,,,,,,,Sports Teams and Clubs (711211),711211.0,,,,,,,,,
NORTH SHORE WINDOW INC.,Stock,Active,Annual report past due,1277180,2021-06-22,78 HORSEBLOCK RD UNIT 12,YAPHANK,11980,NY,Foreign,2018-06-22,NY,NY,False,False,False,False,False,,2021-11-10 00:08:26.7433333,,United States,tomg@northshorewindowinc.com,,2018-06-22,NORTH SHORE WINDOW INC.,United States,,,,,,,All Other Specialty Trade Contractors (238990),238990.0,,,,,,,,,
EZ MOVING & STORING  LLC,LLC,Active,Ready for dissolution,1277182,2019-03-31,"273 DERBY AVENUE , 606",DERBY,06418,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7433333,,,EZMOVINGANDSTORING@OUTLOOK.COM,,,,,,,,,,,,,,,,,,,,,
RIEFFER AND KID LLC,LLC,Active,Ready for dissolution,1277183,2019-03-31,121 SUMMIT ST,NORWICH,06360,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7433333,,,PATWIRTH@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
ORELLANA FLOORING LLC,LLC,Active,Ready for dissolution,1277184,2019-03-31,50 VIVIAN AVENUE,PAWTUCKET,,RI,Foreign,2018-06-22,RI,RI,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7433333,,,BYRONINTERNATIONAL86@GMAIL.COM,,2018-06-25,ORELLANA FLOORING LLC,,"50 VIVIAN AVENUE, PAWTUCKET, RI, 02860,",50 VIVIAN AVENUE,PAWTUCKET,RI,02860,,,,"50 VIVIAN AVENUE, PAWTUCKET, RI,",50 VIVIAN AVENUE,PAWTUCKET,RI,,,,,
THE CONSCIOUS KITCHEN LLC,LLC,Active,Annual report past due,1277185,2021-03-31,504 VOLUNTOWN ROAD,GRISWOLD,06351,CT,Domestic,2018-06-22,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:26.7433333,,United States,theconsciouskitchenllc@gmail.com,,,,,,,,,,,Other Personal Care Services (812199),812199.0,,,,,,,,,
"I&G REALTY, LLC",LLC,Active,Ready for dissolution,1277186,2019-03-31,529 W 187TH,NEW YORK,10033,NY,Domestic,2018-06-22,NY,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:26.7433333,,,ELITECONSULTING.TAXES@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"MURPHY HILL CONSULTING, LLC",LLC,Active,,1277187,2022-03-31,741 HOLLOW TREE RIDGE ROAD,DARIEN,06820,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7433333,,United States,blatwin@pragermetis.com,,,,,,,,,,,Miscellaneous Financial Investment Activities (523999),523999.0,,,,,,,,,
50 PRIME LLC,LLC,Active,Ready for dissolution,1277188,2019-03-31,101 EDGEWATER CIRCLE UNIT G,EAST HAMPTON,06424,CT,Domestic,2018-06-22,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:27.3366667,,,UNFINISHEDATHLETE@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
