name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,billingcountry,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_address
JAKES JOURNEY INC,Non-Stock,Active,First report past due,1291774,2020-11-29,No information provided,,,,HEERINGLAW@GMAIL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0233333,,,,,,,,,,,,,,,,,,,,,,,,
CHEETAH CONSULTING LLC,LLC,Active,Ready for dissolution,1291775,2020-03-31,12 PATRICIA LANE,DARIEN,06820,CT,RBETTINO05@GMAIL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,,United States,,,,,,,,,,,,,,,,,,,,,,
"CT SHORELINE RENTALS, LLC",LLC,Active,,1291776,2022-03-31,12 SPITHEAD ROAD,WATERFORD,06385,CT,juliegreco@snet.net,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0233333,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
A B-RIGHTER C-HOICE D-AYCARE LLC,LLC,Active,Ready for dissolution,1291777,2019-03-31,180 SUMMERFIELD AVE,BRIDGEPORT,06610,CT,JAMESHOUSEY73@YAHOO.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,,,,,,,,,,,,,,,,,,,,,,,,
MO & MORE LLC,LLC,Active,Ready for dissolution,1291778,2019-03-31,7 NUTMEG LANE,SANDY HOOK,06482,CT,MOSICHKA@MSN.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,,,,,,,,,,,,,,,,,,,,,,,,
"SMK OMEGA, LLC",LLC,Active,,1291779,2022-03-31,1282 49TH STREET,BROOKLYN,11219,NY,ddorio@peaseanddoriolaw.com,Domestic,2018-11-29,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0233333,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
HABACKER ARBOR SERVICES L.L.C.,LLC,Active,,1291781,2022-03-31,38 PATTY LANE,CANAAN,06018,CT,habackerarborservices@gmail.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0233333,,United States,,,,,,,,Landscaping Services (561730),561730.0,,,,,,,,,,,,,
"EMBRACE RISK ANALYTICS, LLC",LLC,Dissolved,,1291782,2021-03-31,15 SKYLINE DRIVE,PLAINVILLE,06062,CT,tfurtak88@gmail.com,Domestic,2018-11-29,CT,Connecticut,True,True,False,False,False,,2021-11-10 00:12:26.0233333,,United States,,,,,,,,All Other Information Services (519190),519190.0,,,,,,,2020-12-28T00:00:00.000,,,,,,
"WORLD TRADE LABS, INC.",Stock,Active,,1291783,2022-11-29,51 JOHN F KENNEDY PARKWAY FIRST FLOOR WEST FIRST FLOOR WEST,SHORT HILLS,07078,NJ,assurely@accelcompliance.com,Foreign,2018-11-29,DE,DE,False,False,False,False,False,,2021-11-10 00:12:26.0233333,2018-12-15,United States,"WORLD TRADE LABS, INC.",United States,,,,,,Insurance Agencies and Brokerages (524210),524210.0,,,,,,,,,,,,,
MAG STAR HOLDINGS LLC,LLC,Active,Ready for dissolution,1291784,2019-03-31,50 FITCH STREET SUITE 2B,NEW HAVEN,06515,CT,DANIELLETRIVERS@COMCAST.NET,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,,,,,,,,,,,,,,,,,,,,,,,,
FIVE WELLS LLC,LLC,Active,Ready for dissolution,1291785,2019-03-31,50 FITCH STREET SUITE 2B,NEW HAVEN,06515,CT,DANIELLETRIVERS@COMCAST.NET,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,,,,,,,,,,,,,,,,,,,,,,,,
ALTERNATIVE SOLUTION  LLC,LLC,Active,Ready for dissolution,1291786,2019-03-31,1455 PEMBROKE ST,BRIDGEPORT,06608,CT,JASSBO@AOL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,,,,,,,,,,,,,,,,,,,,,,,,
SOVEREIGN GALLERY & TATTOO STUDIO LLC,LLC,Active,Ready for dissolution,1291787,2020-03-31,79 EAST PUTNAM AVENUE,GREENWICH,06830,CT,mannyvalerioart@gmail.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,,United States,,,,,,,,,,,,,,,,,,,,,,
MURPHY'S PAW DOG GROOMING SCHOOL LLC,LLC,Active,Ready for dissolution,1291788,2019-03-31,360 EAST MAIN ST.,STRATFORD,06614,CT,NICOLE@MURPHYSPAW.ORG,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,,,,,,,,,,,,,,,,,,,,,,,,
9 CORAL CAY LLC,LLC,Active,,1291789,2022-03-31,51 WESTWOOD ROAD,STAMFORD,06902,CT,henryjpark@gmail.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0233333,,United States,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,
CONNECTICUT INTEGRATIVE MEDICAL CENTER PC,Stock,Active,Annual report past due,1291790,2020-11-29,"1817 BLACK ROCK TURNPIKE, SUITE 205",FAIRFIELD,06825,CT,ne@registeredagentsinc.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0233333,,,,,,,,,,,,,,,,,,,,600.0,,,,
JDA CONTRACTING CORP,Non-Stock,Active,First report past due,1291791,2020-11-29,No information provided,,,,BRUCEWOOLF@GMAIL.CM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.5866667,,,,,,,,,,,,,,,,,,,,,,,,
MOISES BAUTISTA LLC,LLC,Active,Ready for dissolution,1291792,2019-03-31,33 JOBS HILL RD,ELLINGTON,06029,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.5866667,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER PAINTING & CLEANING LLC,LLC,Active,Ready for dissolution,1291793,2019-03-31,304 PEQUONNOCK ST,BRIDGEPORT,06604,CT,MARIA@COELHOINS.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.5866667,,,,,,,,,,,,,,,,,,,,,,,,
AGUSTIN SERVICES LLC,LLC,Active,Ready for dissolution,1291794,2020-03-31,15 WAVERLY PL,STAMFORD,06902,CT,LOUISSACOTO@SBCGLOBAL.NET,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.5866667,,United States,,,,,,,,,,,,,,,,,,,,,,
"AUDUBON ENGINEERING SOLUTIONS, LLC",LLC,Active,,1291795,2022-03-31,"10205 WESTHEIMER RD. , STE 100",HOUSTON,77042,TX,bking@auduboncompanies.com,Foreign,2018-11-29,TX,TX,False,False,False,False,False,,2021-11-10 00:12:26.5866667,2018-12-31,United States,"AUDUBON ENGINEERING SOLUTIONS, LLC",United States,"10205 WESTHEIMER RD. , STE 100, HOUSTON, TX, 77042,","10205 WESTHEIMER RD. , STE 100",HOUSTON,TX,77042,Engineering Services (541330),541330.0,"10205 WESTHEIMER RD. SUITE 100, HOUSTON, TX, 77042, United States",10205 WESTHEIMER RD. SUITE 100,HOUSTON,TX,77042,United States,,,,,,,
SECOND ACT LAND COMPANY LLC,LLC,Active,,1291796,2022-03-31,10810 N TATUM BLVD STE 102-922,PHOENIX,85028,AZ,bret@secondactland.com,Domestic,2018-11-29,AZ,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.5866667,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
GEN-ALL CONSULTING INC,Non-Stock,Active,Annual report due,1291797,2021-12-09,35 TALCOTTVILLE ROAD UNIT 29,VERNON,06066,CT,THIENHUY@MSN.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.5866667,,United States,,,,,,,,All Other Support Services (561990),561990.0,,,,,,,,,,,,,
EDGEWOOD REALTY DEVELOPMENT LLC,LLC,Active,Annual report past due,1291798,2021-03-31,10 MOODUS ROAD,EAST HADDAM,06469,CT,ldgproperties@hotmail.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.5866667,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
"EL AZTECA MEXICAN RESTAURANT, INC.",Stock,Active,Ready for dissolution,1291799,2019-11-29,90 PLAZA COURT,GROTON,06340,CT,Elazteca@insclients.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.5866667,,,,,,,,,,,,,,,,,,,,2000.0,,,,
"96 MAPLE STREET, LLC",LLC,Active,Ready for dissolution,1291800,2020-03-31,528 PRUDDEN LANE,ORANGE,06477,CT,Z28TONY@YAHOO.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.5866667,,United States,,,,,,,,,,,,,,,,,,,,,,
"API - SYCAMORE, LLC",LLC,Active,,1291801,2022-03-31,"15 BALDWIN DRIVE C/O AMERICAN POLYFILM, INC.",BRANFORD,06405,CT,victor@apiusa.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.5866667,,United States,,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,
GOAT HEART FARM LLC,LLC,Active,Ready for dissolution,1291802,2020-03-31,100 NORFOLK RD.,WINSTED,06098,CT,AURORAGARDENSCT@GMAIL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.5866667,,United States,,,,,,,,,,,,,,,,,,,,,,
PLURAL TECHNOLOGY INC,Stock,Active,,1291803,2022-11-29,2723 SOUTH STATE COMMONS SUITE 150 SUITE 150,ANN ARBOR,48104,MI,anu@pluraltechnology.com,Foreign,2018-11-29,DE,DE,False,False,False,False,False,,2021-11-10 00:12:26.5866667,2018-11-29,United States,PLURAL TECHNOLOGY INC,United States,,,,,,Other Management Consulting Services (541618),541618.0,,,,,,,,,,,,,
THAI MASSAGE THERAPY LLC,LLC,Active,Annual report past due,1291804,2021-03-31,8 CHURCH ST,ELLINGTON,06029,CT,happyrefund@gmail.com,Domestic,2018-11-29,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:26.5866667,,United States,,,,,,,,Other Personal Care Services (812199),812199.0,,,,,,,,,,,,,
"J B SAWMILL AND LANDCLEARING, INC",Stock,Active,,1291805,2022-11-29,51 FISHER STREET,WESTBORO,01581,MA,aep@jbsawmill.com,Foreign,2018-11-29,MA,MA,False,False,False,False,False,,2021-11-10 00:12:26.5866667,2018-01-01,United States,"J B SAWMILL AND LANDCLEARING, INC",United States,,,,,,Logging (113310),113310.0,,,,,,,,,,,,,
PIT BOYS SMOKEHOUSE BAR B QUE LIMITED LIABILITY COMPANY,LLC,Active,Ready for dissolution,1291806,2020-03-31,129 GREAT HILL ROAD,SEYMOUR,06483,CT,EFILE1234@INCFILE.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.5866667,,United States,,,,,,,,,,,,,,,,,,,,,,
HUGO RA HOME IMPROVEMENT LLC,LLC,Active,Ready for dissolution,1291807,2019-03-31,263 DANIEL FARMS ROAD,TRUMBULL,06611,CT,NATHALI@ZURITAINSURANCE.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6000000,,,,,,,,,,,,,,,,,,,,,,,,
LITERARY DISCO LLC,LLC,Active,,1291808,2022-03-31,1017 EL PASO DR,LOS ANGELES,90042,CA,EFILE1234@INCFILE.COM,Domestic,2018-11-29,CA,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6000000,,United States,,,,,,,,"Independent Artists, Writers, and Performers (711510)",812990.0,,,,,,,,,,,,,
"1435 CHAPEL, LLC",LLC,Active,Ready for dissolution,1291809,2020-03-31,107 WHITNEY AVENUE  107 WHITNEY AVENUE,NEW HAVEN,06510,CT,ADMIN@FARNAMGROUP.COM,Domestic,2018-11-29,CT,Connecticut,True,False,True,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,
ZUL CAFE & GRILL LLC,LLC,Active,Ready for dissolution,1291810,2019-03-31,3 BETMARLEA RD,NORWALK,06850,CT,EFILE1234@INCFILE.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,,,,,,,,,,,,,,,,,,,,,,,
CURILLO PROPERTIES LLC,LLC,Active,Ready for dissolution,1291811,2019-03-31,11 ADAMSON AVENUE,NORWALK,06854,CT,GLORIAVASQUEZ20@HOTMAIL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,,,,,,,,,,,,,,,,,,,,,,,
GUTHRIE PROPERTIES LLC,LLC,Active,Ready for dissolution,1291812,2020-03-31,11 MAIN ST,MYSTIC,06355,CT,JEMBUILDERS@SBCGLOBAL.NET,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,United States,,,,,,,,,,,,,,,,,,,,,,
"C&P CAPITAL HOLDINGS, INC.",Stock,Active,First report past due,1291813,2020-11-29,No information provided,,,,RA@ANDERSONADVISORS.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6333333,,,,,,,,,,,,,,,,,,,,1000.0,,,,
ADVENTUS ADVISORY SERVICES LIMITED LIABILITY COMPANY,LLC,Active,,1291815,2022-03-31,38 BUNKER HILL CIR,SHELTON,06484,CT,dfflynn78@gmail.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6333333,,United States,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,
"TRAPPER JOHN, LLC",LLC,Active,Ready for dissolution,1291816,2019-03-31,35 D DANBURY RD,NEW MILFORD,,CT,TRAPPERJOHNLLC@GMAIL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,,,,,,,,,,,,,,,,,,,,,,,
MENDOZA GENERAL CONSTRUCTION LLC,LLC,Active,Ready for dissolution,1291817,2019-03-31,29 OSBORNE ST,DANBURY,06810,CT,LISSETTE_TRRS@YAHOO.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,,,,,,,,,,,,,,,,,,,,,,,
AGLOW EVENT STYLING LLC,LLC,Active,,1291818,2022-03-31,330 MAIN STREET,MANCHESTER,06040,CT,hello@aglowxo.com,Domestic,2018-11-29,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:26.6333333,,United States,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,
GREENBROOK TMS WEST HARTFORD LLC,LLC,Active,,1291819,2022-03-31,890 YONGE STREET 7TH FLOOR,TORONTO,,,finance@greenbrooktms.com,Domestic,2018-11-29,,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6333333,,Canada,,,,,,,,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,,,,,,,,,,,,,
CONNECTICUT EXECUTIVE CAREGIVERS LLC,LLC,Active,Ready for dissolution,1291820,2019-03-31,800 UNION AVE,BRIDGEPORT,06607,CT,EXCCAREGIVERS@GMAIL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,,,,,,,,,,,,,,,,,,,,,,,
TORRES MINI GROCERY LLC,LLC,Active,Ready for dissolution,1291821,2019-03-31,584-586 FRANKLIN AVE 1ST FL,HARTFORD,06114,CT,USACCOUNTING@YAHOO.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,,,,,,,,,,,,,,,,,,,,,,,
NOVA MANAGEMENT LLC,LLC,Active,Ready for dissolution,1291822,2019-03-31,2 PERLMAN DR SUITE 204,SPRING VALLEY,10977,NY,NOTICES@VCORPSERVICES.COM,Domestic,2018-11-29,NY,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,,,,,,,,,,,,,,,,,,,,,,,
ARC TECH LLC,LLC,Active,Ready for dissolution,1291823,2019-03-31,338 ELM ST,WEST HAVEN,06516,CT,MICHAELIGNATOWSKI3406@GMAIL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,,,,,,,,,,,,,,,,,,,,,,,
"MID-SOUTH ADJUSTMENT CO., INC",Stock,Active,Annual report due,1291824,2021-11-29,11701 INTERSTATE 30 SUITE 206,LITTLE ROCK,72209,AR,Compliancemail@cscinfo.com,Foreign,2018-11-29,AR,AR,False,False,False,False,False,,2021-11-10 00:12:26.6333333,2018-12-14,United States,"MID-SOUTH ADJUSTMENT CO., INC",United States,,,,,,Collection Agencies (561440),561440.0,,,,,,,,,,,,,
BABY NO LIMITS LLC,LLC,Active,Ready for dissolution,1291825,2019-03-31,104 HARRISON ROAD,WALLINGFORD,06492,CT,FULFILLMENT@ZENBUSINESS.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,,,,,,,,,,,,,,,,,,,,,,,
IRION HILLS LLC,LLC,Active,Annual report past due,1291826,2021-03-31,14 SCOTT STREET UNIT 2,NAUGATUCK,06770,CT,rushhourshuttle@yahoo.com,Domestic,2018-11-29,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:26.6333333,,United States,,,,,,,,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,,,,,
"MU MU, LLC",LLC,Active,,1291827,2022-03-31,25 STATE STREET,WATERBURY,06702,CT,JJS1359@yahoo.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6333333,,United States,,,,,,,,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,,,,,
LA PLACITA LLC,LLC,Active,Ready for dissolution,1291828,2019-03-31,173 EAST MAIN STREET,MIDDLETOWN,06457,CT,USACCOUNTING@YAHOO.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6633333,,,,,,,,,,,,,,,,,,,,,,,,
SUNSET HILL GOLF LLC,LLC,Active,,1291829,2022-03-31,13 DEERFIELD RD,WILTON,06897,CT,michele.johnson@mercury-biz.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6633333,,United States,,,,,,,,Golf Courses and Country Clubs (713910),713910.0,,,,,,,,,,,,,
BENCHLING INC.,Stock,Active,,1291830,2022-11-29,"680 Folsom St, 8th Floor",SAN FRANCISCO,94107,CA,cls-ctarmsevidence@wolterskluwer.com,Foreign,2018-11-29,DE,DE,False,False,False,False,False,,2021-11-10 00:12:26.6633333,2018-10-01,United States,BENCHLING INC.,United States,,,,,,Computer Systems Design Services (541512),,,,,,,,,,,,,,
"ORGANIZED CHAOS, LLC",LLC,Dissolved,,1291831,2021-03-31,25 RIVER RIDGE LANE,WILTON,06897,CT,rbfrascellacpa@optonline.net,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6633333,,United States,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,2021-02-03T00:00:00.000,,,,,,
"1440 HANOVER AVENUE MERIDEN, LLC",LLC,Active,Ready for dissolution,1291832,2020-03-31,1440 HANOVER AVENUE,MERIDEN,06451,CT,rolie125@aol.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6633333,,United States,,,,,,,,Used Car Dealers (441120),441120.0,,,,,,,,,,,,,
GAUVO STUDIOS LLC,LLC,Active,Annual report past due,1291833,2021-03-31,56 SEXTONS HOLLOW RD,CANTON,06019,CT,ct-reports@statefilings.in,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6633333,,United States,,,,,,,,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,,,,,
ARCHIVE COLLECTIONS LLC,LLC,Active,Ready for dissolution,1291835,2019-03-31,568 OLD COLONY RD,MERIDEN,06451,CT,ARCHIVECOLLECTIONS@GMAIL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6633333,,,,,,,,,,,,,,,,,,,,,,,,
INTEGRATED RETIREMENT ADVISORS LLC,LLC,Active,Ready for dissolution,1291836,2020-03-31,290 HARBOR DRIVE APT 1603S,STAMFORD,06902,CT,NAHUMDANIELS@GMAIL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6633333,,United States,,,,,,,,,,,,,,,,,,,,,,
"QUALITY PLUMBING & DRAIN SERVICES,LLC",LLC,Active,,1291837,2022-03-31,31 STONE DR,WINDSOR LOCKS,06096,CT,qualityplumbingdrain@yahoo.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6633333,,United States,,,,,,,,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",238220.0,,,,,,,,,,,,,
EJL DEVELOPMENT LLC,LLC,Active,,1291838,2022-03-31,670 THOMPSON RD,THOMPSON,06277,CT,eric@thewaterexperts.com,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6633333,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,
DENTAL REPAIR SERVICE LLC,LLC,Active,,1291839,2022-03-31,28 VALLEY VIEW RD,NORWALK,06851,CT,Luis.Mora@dentalfixrx.com,Domestic,2018-11-29,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:12:26.6633333,,United States,,,,,,,,Other Scientific and Technical Consulting Services (541690),541690.0,,,,,,,,,,,,,
VIDA MAHR LLC,LLC,Active,Ready for dissolution,1291841,2019-03-31,17   OLD MILL RD,WESTON,,CT,TASMAHR@HOTMAIL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6633333,,,,,,,,,,,,,,,,,,,,,,,,
AMAFI TRANSPORTATION LLC,LLC,Active,Ready for dissolution,1291842,2019-03-31,27 BAYPATH WAY,BRANFORD,06405,CT,AMAFITRANSPRTATION@GMAIL.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6633333,,,,,,,,,,,,,,,,,,,,,,,,
FRICTION LLC,LLC,Active,Ready for dissolution,1291843,2020-03-31,52 N MAIN ST,MIDDLETOWN,06457,CT,IGOR@IGORPARTOLA.COM,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6633333,,United States,,,,,,,,,,,,,,,,,,,,,,
"NEW GENERATION HEALTHCARE SERVICES, LLC",LLC,Active,Annual report past due,1291844,2021-03-31,64 FOOTE STREET,HAMDEN,06517,CT,nghcs82@yahoo.com,Domestic,2018-11-29,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:26.6633333,,United States,,,,,,,,Home Health Care Services (621610),621610.0,,,,,,,,,,,,,
THE DIGWAY FOUNDATION INCORPORATED,Non-Stock,Dissolved,,1291845,2020-11-29,260 DAVIS AVENUE,GREENWICH,06830,CT,ALOPEZ@DIGWAYFOUNDATION.ORG,Domestic,2018-11-29,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6633333,,,,,,,,,,,,,,,,,,2021-03-09T00:00:00.000,,,,,,
"NXT CAPITAL FINANCE COMPANY, LLC",LLC,Active,,1291849,2022-03-31,191 N. WACKER DRIVE 30TH FLOOR,CHICAGO,60606,IL,FILINGMANAGER@CAPITOLSERVICES.COM,Foreign,2018-11-29,DE,DE,False,False,False,False,False,,2021-11-10 00:12:28.2566667,2019-01-01,United States,"NXT CAPITAL FINANCE COMPANY, LLC",United States,"1675 SOUTH STATE ST STE B, DOVER, DE, 19901,",1675 SOUTH STATE ST STE B,DOVER,DE,19901,All Other Nondepository Credit Intermediation (522298),522298.0,"1675 SOUTH STATE ST STE B, DOVER, DE, 19901, United States",1675 SOUTH STATE ST STE B,DOVER,DE,19901,United States,,,,,,,
695 EAST MAIN MEZZANINE LLC,LLC,Active,,1291851,2022-03-31,1 ELMCROFT ROAD SUITE 500,STAMFORD,06902,CT,hiru@bltoffice.com,Foreign,2018-11-29,DE,DE,False,False,False,False,False,,2021-11-10 00:12:28.2566667,2018-11-01,United States,695 EAST MAIN MEZZANINE LLC,United States,"C/O CSC 251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808,",C/O CSC 251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,Other Activities Related to Real Estate (531390),531390.0,"C/O CSC 251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",C/O CSC 251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,,,
"EVEREST CAMPUS EAST, LLC",LLC,Active,,1291853,2022-03-31,2970 CLAIRMONT ROAD NE SUITE 310,ATLANTA,30329,GA,jtorkelson@peakmadere.com,Foreign,2018-11-29,DE,DE,False,False,False,False,False,,2021-11-10 00:12:28.2566667,2018-11-29,United States,"EVEREST CAMPUS EAST, LLC",United States,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
OREOF 2017 KF LLC,LLC,Active,Ready for dissolution,1291854,2020-03-31,200 S. BISCAYNE BLVD. 7TH FLOOR,MIAMI,33131,FL,SFRANCA@ORIONMIAMI.COM,Foreign,2018-11-29,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.2566667,2019-01-01,United States,OREOF 2017 KF LLC,United States,"200 S. BISCAYNE BLVD. 6TH FLOOR 200 S. BISCAYNE BLVD., 6TH FLOOR, MIAMI, FL, 33131, United States","200 S. BISCAYNE BLVD. 6TH FLOOR 200 S. BISCAYNE BLVD., 6TH FLOOR",MIAMI,FL,33131,,,"59 DOGWOOD ROAD, WETHERSFIELD, CT, United States",59 DOGWOOD ROAD,WETHERSFIELD,CT,,United States,,United States,,,,,
